college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Gandhinagar,16 Pixels,Photography,Institution-associated official student club,"Event photography, videography, workshops, photo walks and exhibitions",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Abhinaya,Drama,Institution-associated official student club,"Theatre, acting, direction, stage and street-play production",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Samvaad,Debating and public speaking,Institution-associated official student club,"Debates, open mics and speaking workshops",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Cinematheque,Film appreciation,Institution-associated official student club,"Film screenings, discussions and themed film events",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,LitSoc,Literary,Institution-associated official student club,"Creative writing, poetry, book discussions and publications",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Orenda,Inclusivity and expression,Institution-associated official student club,"Conversations and expression around identity, gender and societal issues",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",recently active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Palette,Art,Institution-associated official student club,"Art workshops, competitions and installations",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Quizzing Society,Quiz,Institution-associated official student club,General and themed quizzes and inter-college preparation,https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Sargam,Music,Institution-associated official student club,"Jamming, music nights, competitions and performances",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
Indian Institute of Technology Gandhinagar,Step-Up,Dance,Institution-associated official student club,"Dance sessions, workshops and cultural competitions",https://iitgn.ac.in/student/lifeoncampus/clubs/,Current club directory lists active secretary/contact or current club description; exact latest event date not consistently published.,2026,Verify club-specific current achievements during manual review.,"Club-specific induction, workshops or auditions; verify current cycle.",active,S018;S019,2026-06-26
