source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
S001,merged_jee_cutoff_2018_2025.csv — original verified JoSAA/CSAB cutoff dataset,uploaded-file://merged_jee_cutoff_2018_2025.csv,user-upload,Tier A — authoritative verified dataset,Original verified structured cutoff dataset,A,2018-2025,,2026-06-26,cutoffs,"IIT Roorkee main campus, Roorkee, Uttarakhand",User confirmed this is the original verified cutoff dataset.
S002,JoSAA 2026 Institute Profile and Seat Matrix — IIT Roorkee,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=113,josaa.admissions.nic.in,Tier A — official counselling authority,"Official profile, 2026 seat matrix and financial-assistance summary",A,2026-27,,2026-06-26,identity; admissions; programmes; seat matrix; branch change; scholarships; placements; facilities; location,"IIT Roorkee main campus, Roorkee, Uttarakhand","Institute code 113; 19 current programmes; 1,353 seats including 107 female-supernumerary seats."
S003,IIT Roorkee official website,https://iitr.ac.in/,iitr.ac.in,Tier B — official institution,Official institute website,B,current,,2026-06-26,identity; statutory status; contacts; campus links,"IIT Roorkee main campus, Roorkee, Uttarakhand",Main Roorkee campus.
S004,JEE (Advanced) 2026 Information Brochure,https://jeeadv.ac.in/documents/IBEnglish_2026_1.pdf,jeeadv.ac.in,Tier A — official admission authority,Official admission brochure PDF,A,2026,,2026-06-26,eligibility; examination; reservation; foreign-national route,"IIT Roorkee main campus, Roorkee, Uttarakhand",JEE Advanced/JoSAA rules; no institute-specific management route.
S005,IIT Roorkee UG New Entrants Fee Structure 2026-27,https://iitr.ac.in/Academics/static/Institute_Fee/2026-27/UGIst.pdf,iitr.ac.in,Tier B — official institution,Official fee circular PDF,B,2026-27,,2026-06-26,fees; hostel; mess; deposits; tuition waiver,"IIT Roorkee main campus, Roorkee, Uttarakhand",First-semester and recurring semester charges for new UG entrants.
S006,IIT Roorkee Institute Fees index,https://iitr.ac.in/Academics/Institute%20Fees.html,iitr.ac.in,Tier B — official institution,Official fee index,B,2026-27,,2026-06-26,fees; latest-year confirmation,"IIT Roorkee main campus, Roorkee, Uttarakhand",Lists 2026-27 fee structures.
S007,NIRF India Rankings 2025 — Engineering,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html,nirfindia.org,Tier A — government ranking,Official ranking,A,2025,,2026-06-26,ranking; score,"IIT Roorkee main campus, Roorkee, Uttarakhand","Rank 6, score 75.44; institution ID IR-E-U-0560."
S008,NIRF India Rankings 2024 — Engineering,https://www.nirfindia.org/Rankings/2024/EngineeringRanking.html,nirfindia.org,Tier A — government ranking,Official ranking,A,2024,,2026-06-26,ranking; score,"IIT Roorkee main campus, Roorkee, Uttarakhand","Rank 6, score 76.00."
S009,NIRF India Rankings 2023 — Engineering,https://www.nirfindia.org/Rankings/2023/EngineeringRanking.html,nirfindia.org,Tier A — government ranking,Official ranking,A,2023,,2026-06-26,ranking; score,"IIT Roorkee main campus, Roorkee, Uttarakhand","Rank 5, score 75.64."
S010,IIT Roorkee Annual Report 2024-25,https://iitr.ac.in/Careers/static/Institute/Annual_Reports/2024-2025/AnnualReportEnglishVersion2024-25.pdf,iitr.ac.in,Tier B — official institution,Official annual report PDF,B,2024-25,,2026-06-26,placements; internships; recruiters; facilities,"IIT Roorkee main campus, Roorkee, Uttarakhand",Placement pages are image-based; report pp. 68-75 were visually reviewed.
