scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
DAU Merit Scholarship,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 notice,,,,,Top programme-wise students with SPI 8.5/10 or above,,,Full semester tuition fee; five scholarships per batch,Semester-wise,Institute application and academic records,Pass all credit courses; no backlog or disciplinary case; satisfy SPI each semester,Verify current semester notice,https://daiict.ac.in/btech-merit-and-mcm-scholarships,S016,B
DAU Merit-cum-Means Scholarship – 70% band,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 notice,Merit-cum-means,,600000,,SPI 6.5/10 or above,,,70% semester tuition-fee reimbursement; eight scholarships per batch,Semester-wise,"Income certificate, tax/income documents and institute application",Pass all courses; no backlog or disciplinary case; satisfy SPI and income rules,Verify current semester notice,https://daiict.ac.in/btech-merit-and-mcm-scholarships,S016,B
DAU Merit-cum-Means Scholarship – 50% band,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 notice,Merit-cum-means,,800000,,SPI 6.5/10 or above,,,50% semester tuition-fee reimbursement; twenty scholarships per batch,Semester-wise,"Income certificate, tax/income documents and institute application",Pass all courses; no backlog or disciplinary case; satisfy SPI and income rules,Verify current semester notice,https://daiict.ac.in/btech-merit-and-mcm-scholarships,S016,B
DAU Meritorious Institute Fellowship,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 admission list,,,,,Maintain SPI 8.5/10 each semester,Top 3 JEE AIR holders within AIR 1–5000 and top 2 ACPC candidates within rank 1–25,,100% tuition fee; five fellowships,"Normal programme duration, semester renewal",Admission-rank proof and institute undertaking,SPI 8.5 or above; pass courses; no backlog/disciplinary case; no other scholarship,At admission; verify current notice,https://www.daiict.ac.in/btech-institute-fellowships,S040,B
DAU Other-State Board Toppers Fellowship,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 admission list,,,,Board other than Gujarat,Maintain SPI 8.5/10 each semester,Top five candidates with board rank 1–10,,100% tuition fee; five fellowships,"Normal programme duration, semester renewal",Official board-topper certificate and undertaking,SPI 8.5 or above; pass courses; no backlog/disciplinary case; no other scholarship,At admission; verify current notice,https://www.daiict.ac.in/btech-institute-fellowships,S040,B
DAU Girl Students Fellowship,Dhirubhai Ambani University,Dhirubhai Ambani University,B.Tech programmes,2025-26 onward; verify 2026 admission list,,Female,,,Maintain SPI 8.5/10 each semester,Top 4 female JEE candidates within AIR 1–10000 and top 1 female ACPC candidate within rank 1–50,,100% tuition fee; five fellowships,"Normal programme duration, semester renewal",Rank proof and institute undertaking,SPI 8.5 or above; pass courses; no backlog/disciplinary case; no other scholarship,At admission; verify current notice,https://www.daiict.ac.in/btech-institute-fellowships,S040,B
Cybage Khushboo Merit-cum-Means Scholarship,Khushboo Charitable Trust / Cybage,Dhirubhai Ambani University,ICT-domain B.Tech programmes; exact 2026 programme mapping requires confirmation,2025-26 onward,Economically disadvantaged,,500000,"Ahmedabad, Gandhinagar, Anand, Kheda or Vadodara district",Minimum 60% aggregate in Class X and XII; clear every semester,,150000,"80% of tuition fee or INR 150,000 per year, whichever is lower; ten awards shared with eligible ICT/Law domain students",Up to four years,Application and financial/academic documents; home verification may occur,Clear all courses; Trust decision and current terms,Verify current Trust/University notice,http://cybagekhushboo.org/scholarship/,S017,B
Jai Jhulelal Merit-cum-Means Scholarship,Alumni-funded through DAU,Dhirubhai Ambani University,"ICT, ICT Honours and MnC under the published cohort scheme",Published for 2022 and 2023 batches; 2026 applicability unverified,Merit-cum-means,,3000000,,SPI 7.0+ or CPI 6.5+ depending award category,,,25% semester tuition fee; four awards under published cohort rules,Semester-wise,"Income certificate, parent ITRs, declaration and undertaking",No backlog or disciplinary case; no other scholarship; meet semester criterion,Verify current cohort notice,https://www.daiict.ac.in/jai-jhulelal-scholarships-btech-students,S041,"C – historical cohort, 2026 verification required"
Satnaam WaheGuruji Merit-cum-Means Scholarship,Alumni-funded through DAU,Dhirubhai Ambani University,"ICT, ICT Honours, MnC and EVD under published cohort scheme",Published for 2023-24 batch; 2026 applicability unverified,Merit-cum-means,,1800000,,SPI or CPI 7.0+ under the published year-wise award categories,,,25% semester tuition fee; four awards under published cohort rules,Semester-wise,"Income certificate, parent ITRs, declaration and undertaking",No backlog or disciplinary case; no other scholarship; meet semester criterion,Verify current cohort notice,https://www.daiict.ac.in/satnaam-waheguruji-scholarships-btech-students,S042,"C – historical cohort, 2026 verification required"
MYSY potentially applicable,Government of Gujarat,Dhirubhai Ambani University,Eligible programmes and students under current scheme,2026-27,Scheme-specific,Scheme-specific,,Gujarat under current rules,Scheme-specific,Scheme-specific,,Potentially applicable; official verification required,Scheme-specific,Current portal requirements,Scheme-specific,Verify current portal,https://mysy.guj.nic.in/,S020,A for portal; eligibility unverified
