scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Central Sector Scholarship of Top Class Education for SC Students,"Ministry of Social Justice and Empowerment, Government of India",Malaviya National Institute of Technology Jaipur,UG professional programmes,Cycle-specific; potentially applicable in 2026-27,SC,,800000,,Satisfactory performance for continuation,Selection linked to JEE rank,,"Full tuition fee, living expenses ₹3,000 × 12, ₹5,000 books grant for the course and one-time computer grant ₹45,000, as stated on MNIT page.",Up to course completion,"Category, income, admission and scheme documents",Satisfactory performance,,https://scholarships.gov.in,SRC017,B
National Fellowship and Scholarship for Higher Education of ST Students / Top Class ST,"Ministry of Tribal Affairs, Government of India",Malaviya National Institute of Technology Jaipur,UG programmes,Cycle-specific; potentially applicable in 2026-27,ST,,600000,,Inter-se merit based on qualifying examination; satisfactory performance for continuation,Admission to NIT through applicable entrance route,,"Full tuition, ₹3,000 monthly stipend, ₹5,000 annual books grant and one-time computer/accessories grant ₹45,000, as stated on MNIT page.",Up to course completion,"ST, income, admission and scheme documents",Satisfactory performance; scheme restricts simultaneous government scholarship for same study,,https://scholarships.gov.in,SRC017,B
Merit-cum-Means Scholarship for Minority Communities,"Ministry of Minority Affairs, Government of India",Malaviya National Institute of Technology Jaipur,Recognized professional UG degree,Cycle-specific; official verification required,Notified minority communities,"30% reservation for girls within each minority community, transferable under scheme rules",250000,,At least 50% in senior secondary; merit selection,,20000,"Course fee up to ₹20,000 per year or actual, plus published maintenance/rent support subject to current scheme rules.",Renewable annually,"Minority, income, marks, admission and bank documents",Successful completion of preceding year,,https://scholarships.gov.in,SRC017,B
Post-Matric Scholarship for Students with Disabilities,"Department of Empowerment of Persons with Disabilities, Government of India",Malaviya National Institute of Technology Jaipur,UG programmes,Cycle-specific,Disability at least 40% with valid certificate,,250000,,,,,"Non-refundable course charges, disability allowance, rent/maintenance and books allowance as per current scheme.",Scheme duration,"Disability, income, academic and admission documents",As per current scheme,,https://scholarships.gov.in,SRC017,B
Top Class Education for Students with Disabilities,"Department of Empowerment of Persons with Disabilities, Government of India",Malaviya National Institute of Technology Jaipur,Eligible UG programmes/institutions,Cycle-specific,Disability at least 40%,,600000,,,,,"Tuition/non-refundable fees up to the scheme ceiling, maintenance, books and computer support; verify current limits.",Scheme duration,"Disability, income, admission and academic documents",As per current scheme,,https://scholarships.gov.in,SRC017,B
Central Sector Scheme of Scholarship for College and University Students,"Department of Higher Education, Government of India",Malaviya National Institute of Technology Jaipur,UG degree,Cycle-specific,,,450000,,At or above notified board percentile threshold; current scheme rules apply,,,Annual scholarship support at rates prescribed by the current central scheme.,Renewable under scheme,"Income, board marks, admission and bank documents",Academic progression and scheme rules,,https://scholarships.gov.in,SRC017,B
Prime Minister Scholarship Scheme for Central Armed Police Forces and Assam Rifles,Government of India,Malaviya National Institute of Technology Jaipur,Professional degree programmes,Cycle-specific,Eligible wards/widows under scheme,Published rate differs by gender,,,Scheme merit requirements,,,"MNIT page lists monthly support of ₹3,000 for girls and ₹2,500 for boys; verify current rates.",Course duration subject to renewal,Service/dependency and academic documents,As per scheme,,https://scholarships.gov.in,SRC017,B
Special Scholarship Scheme for Jammu and Kashmir Students,Government of India / AICTE as applicable,Malaviya National Institute of Technology Jaipur,Eligible UG admissions,Cycle-specific,,,800000,Jammu and Kashmir as specified in scheme,Passed qualifying examination under scheme conditions,,,Tuition and maintenance support up to scheme ceilings; current portal and allocation must be checked.,Scheme duration,"Domicile, income, academic and admission documents",As per current scheme,,https://scholarships.gov.in,SRC017,B
Rajasthan Post-Matric Scholarship for SC/ST Students,Government of Rajasthan,Malaviya National Institute of Technology Jaipur,Eligible UG programmes,Cycle-specific,SC/ST,,250000,Rajasthan,,,,Eligible non-refundable fees and maintenance allowance under current state rules.,Renewable,"Rajasthan domicile, category, income, academic and admission documents",As per state scheme,,,SRC017,B
Rajasthan Post-Matric Scholarship for OBC BPL Students,Government of Rajasthan,Malaviya National Institute of Technology Jaipur,Eligible UG programmes,Cycle-specific,OBC-BPL under state rules,,100000,Rajasthan,,,,State post-matric assistance under current notification.,Renewable,"Domicile, OBC/BPL, income, academic and admission documents",As per state scheme,,,SRC017,B
"Mukhyamantri Medhavi Vidyarthi Yojana, Madhya Pradesh",Government of Madhya Pradesh,Malaviya National Institute of Technology Jaipur,Eligible UG professional programme,Cycle-specific,,,600000,Madhya Pradesh,Board-marks threshold under current rules,MNIT page references a JEE Main rank ceiling; current notification must be checked,,Eligible institutional fee support under current state rules.,As notified,"MP domicile, income, marks, entrance rank and admission documents",As per current state notification,,,SRC017,B
Vesuvius Scholarship for Women Students,Vesuvius India / associated provider,Malaviya National Institute of Technology Jaipur,"Chemical, Metallurgical and Materials, or Mechanical Engineering as listed",Historical/current-cycle verification required,,Female,250000,,CGPA at least 7.0 as stated,,25000,"₹25,000 per semester for the stated eligible semesters; one candidate per listed branch under the page description.",Semesters 3-6 under stated scheme,"Income, academic record and application documents",Maintain stated CGPA/conditions,,,SRC017,B
