scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Merit-cum-Means Scholarship,IIT Hyderabad,Indian Institute of Technology Hyderabad,UG programmes,2026-27,GEN/GEN-EWS/OBC-NCL,Any,450000,None stated,CGPA/SGPA at least 7.0 and no active backlogs; merit ranking applies,Not separately stated,10000,"Pocket money INR 1,000 per month for ten months; subject to 25% class-strength cap and current rules",One academic year; renewable subject to rules,Income certificate/ITR and institute application documents,Fresh academic and income verification; no other scholarship simultaneously,Verify current notice,https://iith.ac.in/academics/scholarships/,S018,B
SC/ST Scholarship,IIT Hyderabad,Indian Institute of Technology Hyderabad,UG programmes,2026-27,SC or ST,Any,450000,None stated,CGPA/SGPA at least 7.0 and no active backlogs,Not separately stated,2500,"Pocket money INR 250 per month for ten months, plus eligible license-fee and dining reimbursements as per current rules",One academic year; renewable subject to rules,"Category certificate, income documents and institute application",Academic and income verification,Verify current notice,https://iith.ac.in/academics/scholarships/,S018,B
SC/ST/PwD Tuition Fee Exemption,Government of India / IIT Hyderabad,Indian Institute of Technology Hyderabad,UG programmes,2026-27,"SC, ST or PwD as officially defined",Any,,None stated,Admission and document verification,JEE Advanced/JoSAA admission route,800000,Full tuition-fee exemption over eight semesters at the current INR 1 lakh-per-semester rate; other fees remain payable,Normal programme duration subject to rules,Valid category/PwD documents,Continued eligibility under government/institute rules,At admission/fee verification,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,S002,A
Full Tuition Remission — family income below INR 1 lakh,Government of India / IIT Hyderabad,Indian Institute of Technology Hyderabad,UG programmes,2026-27,Eligible Indian students,Any,100000,None stated,Admission and income verification,JEE Advanced/JoSAA admission route,800000,Full tuition remission at current rates; other fees remain payable,Subject to annual verification,Current family-income proof/ITR as prescribed,Annual income verification,Verify institute fee-remission schedule,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,S002,A
Two-thirds Tuition Remission — family income INR 1–5 lakh,Government of India / IIT Hyderabad,Indian Institute of Technology Hyderabad,UG programmes,2026-27,Eligible Indian students,Any,500000,None stated,Admission and income verification,JEE Advanced/JoSAA admission route,533333,Two-thirds tuition remission over eight semesters at current rates; calculated value rounded,Subject to annual verification,Current family-income proof/ITR as prescribed,Annual income verification,Verify institute fee-remission schedule,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,S002,A
Central Sector Scholarship of Top Class Education for SC Students,Government of India,Indian Institute of Technology Hyderabad,Eligible full-time UG programmes,2026-27,SC and other scheme conditions,Any,Verify current NSP scheme,India,As notified by scheme,Admission to notified institution/course,,Potential tuition and living support under the current notified scheme; not guaranteed,As notified,NSP scheme documents,As notified,Verify NSP,https://scholarships.gov.in/,S020,A
PM-YASASVI Top Class College Education Scheme,Government of India,Indian Institute of Technology Hyderabad,Eligible full-time UG programmes,2026-27,OBC/EBC/DNT and current scheme conditions,Any,Verify current NSP scheme,India,As notified by scheme,Admission to notified institution/course,,Potential tuition and living support; official institution list and current rules must be checked,As notified,NSP scheme documents,As notified,Verify NSP,https://scholarships.gov.in/,S020,A
Central Sector Scheme of Scholarships for College and University Students,Government of India,Indian Institute of Technology Hyderabad,Eligible UG programmes,2026-27,As notified,Any,Verify current NSP scheme,India,Board-performance and course conditions as notified,Not institute-specific,,Potentially applicable; official verification required,As notified,NSP scheme documents,As notified,Verify NSP,https://scholarships.gov.in/,S020,A
Telangana Post-Matric Scholarship / Fee Reimbursement,Government of Telangana,Indian Institute of Technology Hyderabad,Eligible programmes and students,2026-27,Scheme-specific reserved/economic categories,Any,Verify current ePASS scheme,Telangana,As notified,As notified,,Potentially applicable only to eligible Telangana-domicile students; IIT/institution coverage must be verified,As notified,ePASS scheme documents,As notified,Verify ePASS,https://telanganaepass.cgg.gov.in/,S021,A
Education Loan Support,Banks / Vidya Lakshmi-linked lenders,Indian Institute of Technology Hyderabad,UG programmes,2026-27,Loan underwriting rules,Any,,As lender requires,Admission confirmation and lender criteria,Admission documentation,,"Loan support, not a scholarship or guaranteed benefit",Loan tenure,"Admission letter, fee statement, KYC and lender documents",Loan terms,Lender-specific,https://www.vidyalakshmi.co.in/,S008,B
