college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"National Institute of Technology Karnataka, Surathkal",Kannada Vedike,language/culture,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Hudugata Hudukata, school visit and Parva",2024-11-10,500+ participation reported for Hudugata Hudukata,Not consistently published; verify with student activity authorities,recently active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Film Club,film/media,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,FilmFest: Colors of Cinema,2024-25,Campus film festival,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Genesis Club,dance,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Flash mobs and intercollege dance participation,2024-25,Reported second/third-place intercollege results,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",SMILE Club,social/cultural,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Aadiparampara,2025-03-01,Two-day flagship event,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Institution of Engineers Student Chapter,technical,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"RoboRise, Structurovate, AI contests, bot soccer, ENGI hackathon, SeaTF and Enigma",2024-25,Multiple technical competitions,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Utkrishta Bharat,national integration/culture,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Utkrishta Bharat flagship event,2025-03-05,Three-day flagship programme,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Artists' Forum,art/design,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,UDAAN and campus murals,2025-01-18,UDAAN reported 5000+ participation/footfall,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Music Club,music,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Overture, Unplugged, Reminiscence and Incident participation",2024-25,Intercollege awards and about 80 members reported,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Hindi and Sanskrit Club,language/culture,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Chakravyuh quiz, story narration and open mic",2024-25,Language and literary events,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",BAJA NITK Racing,automotive/technical,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,ATVC 2025,2025,Second place in Business Presentation reported,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",TEDxNITK,ideas/public speaking,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Alchemy and salon events,2025-02-15,Officially organized TEDx-format event,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Dramatics Design and Fashion Club,theatre/design/fashion,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Plays, Rangmanch, fashion and Incident events",2024-25,Intercollege participation reported,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",SPIC MACAY NITK,classical arts,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Dasavatharam, Seetapaharana, workshops and Aradhana",2025,Multiple classical-art events,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Amateur Astronomy Club,science/astronomy,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"ISRO talk, National Space Day, World Space Week and Engineer events",2024-25,Recruited about 30 members,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Yoga Club,wellness,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Yoga competition, Inner Engineering, Swabhav and beach activities",2024-25,Multiple wellness activities,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",NITK Racing Electric,electric mobility/technical,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Ignis 24-hour design-a-thon,2024-25,Electric vehicle design activity,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Rotaract Club,community service,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,"Blood donation, beach cleanup and NGO collaboration",2025-02,Service activities from Aug 2024 to Feb 2025,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Engineer Organizing Team,technical fest,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Engineer technical festival,2024-10-20,Multi-day institute technical festival,Not consistently published; verify with student activity authorities,recently active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",Incident Organizing Team,cultural fest,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Incident cultural festival,2025,More than 50 events reported,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
"National Institute of Technology Karnataka, Surathkal",National Service Scheme,community service,official/institution-associated,Student activity documented in the official 2024-25 annual report.,https://www.nitk.ac.in/,Rural engagement and beach-cleaning activities,2024-25,Community-service programme,Not consistently published; verify with student activity authorities,active,SRC012;SRC019,2026-06-26
