scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Statutory tuition-fee waiver for SC/ST/PwD,Government of India / IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,"SC, ST or PwD with minimum 40% disability",Any,,None stated unless scheme-specific,Continue enrolment,Admitted to IIT Gandhinagar through applicable route,873200,Full tuition waiver at unchanged current eight-semester rate; other charges remain payable.,Programme duration,"Institute application, identity/category/income and academic documents as applicable",Continued eligibility,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S002,A
Full tuition support for parental income up to INR 2.5 lakh,IIT Gandhinagar / Government remission,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Income-based,Any,250000,None stated unless scheme-specific,Continue enrolment,Admitted to IIT Gandhinagar through applicable route,873200,"Full tuition waiver or reimbursement under current policy, subject to annual income verification.",Subject to annual verification,"Institute application, identity/category/income and academic documents as applicable",Annual income verification,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S002,A
Two-thirds tuition remission for parental income INR 2.5-5 lakh,Government remission,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Income-based,Any,500000,None stated unless scheme-specific,Continue enrolment,Admitted to IIT Gandhinagar through applicable route,582133.33,Student pays one-third tuition; benefit shown as calculated eight-semester remission at unchanged rate.,Subject to annual verification,"Institute application, identity/category/income and academic documents as applicable",Annual income verification,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S002,A
Free Basic Messing and Pocket Allowance,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,SC/ST,Any,450000,None stated unless scheme-specific,Continue eligible programme,Admitted to IIT Gandhinagar through applicable route,2500,Free basic messing plus INR 250 per month for ten months; benefit_amount field records pocket allowance only because mess value varies.,Normally annual,"Institute application, identity/category/income and academic documents as applicable",Income/category and academic eligibility,Verify current institute notice,https://iitgn.ac.in/about/annual-reports,S013,B
Donor Scholarships,IIT Gandhinagar donors and endowment,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Scheme-specific; many open to BTech students,Any,,None stated unless scheme-specific,Scheme-specific CPI/merit/need conditions,Admitted to IIT Gandhinagar through applicable route,,"Multiple donor scholarships; current JoSAA profile reports 83 donor scholarships, mostly INR 1 lakh per year.",Scheme-specific,"Institute application, identity/category/income and academic documents as applicable",Reasonable academic record and ethical conduct,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S027,A
Scholarship for Excellence in Academics,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Merit,Any,,None stated unless scheme-specific,Outstanding academic performance,Admitted to IIT Gandhinagar through applicable route,20000,"Excellence award; current profile states INR 20,000 per year.",Annual award,"Institute application, identity/category/income and academic documents as applicable",Maintain reasonable academic record and conduct,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S027,A
Scholarship for Excellence in Sports and Games,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Sports excellence,Any,,None stated unless scheme-specific,Documented sports achievement,Admitted to IIT Gandhinagar through applicable route,20000,"Excellence award; current profile states INR 20,000 per year.",Annual award,"Institute application, identity/category/income and academic documents as applicable",Maintain reasonable academic record and conduct,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S027,A
Scholarship for Excellence in Arts and Culture,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Arts/cultural excellence,Any,,None stated unless scheme-specific,Documented arts or cultural achievement,Admitted to IIT Gandhinagar through applicable route,20000,"Excellence award; current profile states INR 20,000 per year.",Annual award,"Institute application, identity/category/income and academic documents as applicable",Maintain reasonable academic record and conduct,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S027,A
Excellence in Social Work and Leadership,IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Social work/leadership,Any,,None stated unless scheme-specific,Documented contribution and leadership,Admitted to IIT Gandhinagar through applicable route,20000,"Excellence award; current profile states INR 20,000 per year.",Annual award,"Institute application, identity/category/income and academic documents as applicable",Maintain reasonable academic record and conduct,Verify current institute notice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=111,S027,A
Lakshmi Vadali Excellence Scholarship,IIT Gandhinagar donor scholarship,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Top-ranking female BTech entrant with financial need,Female,,None stated unless scheme-specific,Minimum CPI 7.0 for continuation,Admitted to IIT Gandhinagar through applicable route,100000,INR 1 lakh per year for a qualifying female BTech student.,Up to BTech completion,"Institute application, identity/category/income and academic documents as applicable",Minimum CPI 7.0,Verify current institute notice,https://iitgn.ac.in/about/annual-reports,S013,B
Chandrakant and Patricia Desai Scholarship,IIT Gandhinagar donor scholarship,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Open to all BTech students,Any,,None stated unless scheme-specific,"Selection for internship, project, opportunity or need support",Admitted to IIT Gandhinagar through applicable route,100000,"INR 1 lakh per year to support internships, special projects, opportunities or financial need.",Annual award,"Institute application, identity/category/income and academic documents as applicable",Scheme-specific selection,Verify current institute notice,https://iitgn.ac.in/about/annual-reports,S013,B
Farmson-IITGN Scholarship,K K Vithani Foundation / IIT Gandhinagar,Indian Institute of Technology Gandhinagar,B.Tech,2026-27; current notification required,Economically disadvantaged students,Any,,None stated unless scheme-specific,Need-based selection,Admitted to IIT Gandhinagar through applicable route,,"Support may cover tuition, hostel/mess, gadgets, books and stationery; amount varies by award.",Scheme-specific,"Institute application, identity/category/income and academic documents as applicable",Continued need and institute approval,Verify current institute notice,https://iitgn.ac.in/about/annual-reports,S013,B
