college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Vellore Institute of Technology,VIT Blockchain Community Club,Technical,Official or historically institution-listed,Current official technical-club directory,https://vit.ac.in/campus/clubs/technical,Current official technical-club directory,,,Current recruitment process not publicly verified,recently active,S031,2026-06-27
Vellore Institute of Technology,CodeChef VIT,Competitive programming,Official or historically institution-listed,Official technical-club listing; older newsletters evidence coding activity,https://vit.ac.in/campus/clubs/technical,Official technical-club listing; older newsletters evidence coding activity,2022,,Current recruitment process not publicly verified,possibly dormant,S031,2026-06-27
Vellore Institute of Technology,Apple Developers Group,Technical/development,Official or historically institution-listed,Historical official annual-report listing,https://vit.ac.in/files/annual-report-2017-18/files/basic-html/page355.html,Historical official annual-report listing,2017-18,,Current recruitment process not publicly verified,possibly dormant,S031,2026-06-27
Vellore Institute of Technology,Entrepreneurship Cell (E-Cell),Entrepreneurship,Official or historically institution-listed,Official technical-club listing,https://vit.ac.in/campus/clubs/technical,Official technical-club listing,,,Current recruitment process not publicly verified,unable to verify,S017,2026-06-27
Vellore Institute of Technology,Energy & Environment Protection Club (E2PC),Environmental sustainability,Official or historically institution-listed,Official technical-club listing,https://vit.ac.in/campus/clubs/technical,Official technical-club listing,,,Current recruitment process not publicly verified,unable to verify,S017,2026-06-27
Vellore Institute of Technology,VIT Dance Club,Arts and culture,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,Dramatics Club,Theatre,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,Music Club,Music,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,DebSoc – VIT,Debate/public speaking,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,VIT MUNSOC,Model United Nations,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,Photography Club,Photography/media,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,Community Radio,Media/community,Official or historically institution-listed,"Current official page describes support for club events, audio and dubbing",https://vit.ac.in/community-radiovideo,"Current official page describes support for club events, audio and dubbing",2026,,Current recruitment process not publicly verified,active,S032,2026-06-27
Vellore Institute of Technology,Rotaract Club of VIT,Social outreach,Official or historically institution-listed,Official welfare newsletter records club activity,https://vit.ac.in/wp-content/uploads/2023/09/newsletter-Jan-22.pdf,Official welfare newsletter records club activity,2022,,Current recruitment process not publicly verified,possibly dormant,S032,2026-06-27
Vellore Institute of Technology,Leo Club,Social outreach,Official or historically institution-listed,Historical official annual-report listing,https://vit.ac.in/files/annual-report-2017-18/files/basic-html/page355.html,Historical official annual-report listing,2017-18,,Current recruitment process not publicly verified,possibly dormant,S033,2026-06-27
Vellore Institute of Technology,Make A Difference (MAD),Social outreach,Official or historically institution-listed,Historical official annual-report listing,https://vit.ac.in/files/annual-report-2017-18/files/basic-html/page355.html,Historical official annual-report listing,2017-18,,Current recruitment process not publicly verified,possibly dormant,S033,2026-06-27
Vellore Institute of Technology,Nature Lover's Club,Environment,Official or historically institution-listed,Historical official annual-report listing,https://vit.ac.in/files/annual-report-2017-18/files/basic-html/page355.html,Historical official annual-report listing,2017-18,,Current recruitment process not publicly verified,possibly dormant,S033,2026-06-27
Vellore Institute of Technology,VIT Spartans,Health and fitness,Official or historically institution-listed,Historical official annual-report listing,https://vit.ac.in/files/annual-report-2017-18/files/basic-html/page355.html,Historical official annual-report listing,2017-18,,Current recruitment process not publicly verified,possibly dormant,S034,2026-06-27
Vellore Institute of Technology,Fine Arts Club,Fine arts,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,Film Society,Film/media,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
Vellore Institute of Technology,The Comedy Club,Performing arts,Official or historically institution-listed,Official arts-and-cultural directory,https://vit.ac.in/campus/clubs/artscultural,Official arts-and-cultural directory,,,Current recruitment process not publicly verified,unable to verify,S032,2026-06-27
