college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,B.Tech,4,53,1,,,2026-27,S002
Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech,4,102,2,,,2026-27,S002
Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech,4,106,5,,,2026-27,S002
Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech,4,81,6,,,2026-27,S002
Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech,4,148,6,,,2026-27,S002
Indian Institute of Technology Madras,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech,4,37,5,,,2026-27,S002
Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",Biological Engineering,B.Tech,4,30,0,,,2026-27,S002
Indian Institute of Technology Madras,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech,4,122,22,,,2026-27,S002
Indian Institute of Technology Madras,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgical and Materials Engineering,B.Tech,4,49,5,,,2026-27,S002
Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",Artificial Intelligence and Data Analytics,B.Tech,4,50,0,,,2026-27,S002
Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",Computational Engineering and Mechanics,B.Tech,4,40,0,,,2026-27,S002
Indian Institute of Technology Madras,"Instrumentation and Biomedical Engineering (4 Years, Bachelor of Technology)",Instrumentation and Biomedical Engineering,B.Tech,4,40,0,,,2026-27,S002
Indian Institute of Technology Madras,"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",Naval Architecture and Ocean Engineering,B.Tech,4,65,8,,,2026-27,S002
Indian Institute of Technology Madras,"Physics (4 Years, Bachelor of Science)",Physics,B.S.,4,11,1,,,2026-27,S002
Indian Institute of Technology Madras,"BS in Mathematics (4 Years, Bachelor of Science)",Mathematics,B.S.,4,20,0,,,2026-27,S002
Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",Biological Sciences,B.S.,4,30,0,,,2026-27,S002
Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace Engineering Dual Degree,B.Tech + M.Tech,5,9,0,,,2026-27,S002
Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",Engineering Design Dual Degree,B.Tech + M.Tech,5,61,3,,,2026-27,S002
