college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Kanpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,B.Tech.,4,55,14,,,2026-27,S002
Indian Institute of Technology Kanpur,"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",Biological Sciences and Bioengineering,B.Tech.,4,42,11,,,2026-27,S002
Indian Institute of Technology Kanpur,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech.,4,83,21,,,2026-27,S002
Indian Institute of Technology Kanpur,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech.,4,118,30,,,2026-27,S002
Indian Institute of Technology Kanpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech.,4,103,26,,,2026-27,S002
Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech.,4,153,39,,,2026-27,S002
Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",Materials Science and Engineering,B.Tech.,4,68,17,,,2026-27,S002
Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech.,4,119,30,,,2026-27,S002
Indian Institute of Technology Kanpur,"Intelligent Systems (4 Years, Bachelor of Technology)",Intelligent Systems,B.Tech.,4,24,6,,,2026-27,S002
Indian Institute of Technology Kanpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,B.S.,4,39,10,,,2026-27,S002
Indian Institute of Technology Kanpur,"Economics (4 Years, Bachelor of Science)",Economics,B.S.,4,41,11,,,2026-27,S002
Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",Mathematics and Scientific Computing,B.S.,4,51,13,,,2026-27,S002
Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",Physics,B.S.,4,36,9,,,2026-27,S002
Indian Institute of Technology Kanpur,"Earth Sciences (4 Years, Bachelor of Science)",Earth Sciences,B.S.,4,34,9,,,2026-27,S002
Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",Statistics and Data Science,B.S.,4,22,6,,,2026-27,S002
