college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Delhi,Board for Recreation and Cultural Activities,Cultural umbrella board,Student-run official board,Coordinates cultural clubs and inter-hostel cultural activities.,https://brca.iitd.ac.in/,Current official board website,,,Open student participation through club/board selections; current cycle to verify,active,S019,2026-06-26
Indian Institute of Technology Delhi,Debating Club,Debating,Official BRCA club,"Debating, public speaking and competitive debate activities.",https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Dramatics Club,Theatre,Official BRCA club,"Theatre production, street plays and acting activities.",https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Dance Club,Dance,Official BRCA club,Student dance teams and cultural performances.,https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Music Club,Music,Official BRCA club,Instrumental and vocal music activities.,https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Photography and Films Club,Photography and film,Official BRCA club,"Photography, filmmaking and visual storytelling.",https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Fine Arts and Crafts Club,Fine arts,Official BRCA club,"Visual arts, craft and campus creative activities.",https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Literary Club,Literary,Official BRCA club,"Writing, literary discussion and related events.",https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Quizzing Club,Quiz,Official BRCA club,Quiz events and inter-college participation.,https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Hindi Samiti,Language and culture,Official BRCA-associated body,Hindi literary and cultural activities.,https://brca.iitd.ac.in/,Listed under BRCA,,,Current recruitment process to verify,recently active,S019,2026-06-26
Indian Institute of Technology Delhi,Robotics Club,Robotics,Official technical club,"Student robotics projects, workshops and competitions.",https://roboticsclub.iitd.ac.in/,Official website accessible,,,Project-team recruitment; exact 2026 process to verify,active,S025,2026-06-26
Indian Institute of Technology Delhi,Automobile Club,Automotive engineering,Official technical club,Automobile projects and engineering team activities.,https://automobileclub.iitd.ac.in/,Official website accessible,,,Project-team recruitment; exact 2026 process to verify,active,S026,2026-06-26
Indian Institute of Technology Delhi,Aeromodelling Club,Aeromodelling,Official CAIC-associated club,"Aircraft modelling, design and flight projects.",https://caic.iitd.ac.in/,Listed within technical activity ecosystem,,,Current recruitment process to verify,unable to verify,S020,2026-06-26
Indian Institute of Technology Delhi,DevClub / Coding Club,Software development,Official/associated technical club,"Software development, open-source and technology activities.",https://caic.iitd.ac.in/,Technical-club ecosystem listed,,,Current identity and recruitment cycle to verify,unable to verify,S020,2026-06-26
Indian Institute of Technology Delhi,Entrepreneurship Development Cell,Entrepreneurship,Official student cell,"Entrepreneurship awareness, startup events and founder ecosystem.",https://edc.iitd.ac.in/,Official website accessible,,,Student team selection; current details to verify,active,S024,2026-06-26
Indian Institute of Technology Delhi,Board for Student Publications,Journalism and publications,Official student board,"Campus journalism, publications and student reporting.",https://www.bspiitd.com/,Official publication site accessible,,,Student journalist and editorial recruitment,active,S022,2026-06-26
Indian Institute of Technology Delhi,Board for Student Welfare,Student welfare,Official student board,"Mentorship, orientation and welfare support.",https://bsw.iitd.ac.in/,Official welfare website accessible,,,Student mentor/board recruitment,active,S021,2026-06-26
Indian Institute of Technology Delhi,National Service Scheme,Community service,Official NSS unit,Social service and community engagement.,https://nssiitd.in/,Official NSS website accessible,,,Volunteer registration and teams,active,S023,2026-06-26
Indian Institute of Technology Delhi,Student Teacher Interaction Council,Academic interaction,Official/associated council,Student-faculty academic interaction and feedback.,https://caic.iitd.ac.in/,Listed within academic interaction ecosystem,,,Current recruitment process to verify,unable to verify,S020,2026-06-26
Indian Institute of Technology Delhi,Finance and Economics Interest Groups,Finance and economics,Institution-associated student groups,"Finance, economics and markets-oriented student activities.",https://caic.iitd.ac.in/,Associated student activity ecosystem,,,Current group names and recruitment must be verified,unable to verify,S020,2026-06-26
