college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Madras,Centre for Innovation (CFI),Technology and innovation,official institution-associated,Student-run innovation lab with 14 clubs and eight competition teams.,https://cfi.iitm.ac.in/,"CFI Open House showcased 60 projects by nearly 1,000 students.",2025-03-15,15 patents and potential startup pathways noted in official release,Open student-team participation; exact 2026 selection process to verify,active,S022,2026-06-26
Indian Institute of Technology Madras,Shaastra,Technical festival,official student-run festival,"Annual techno-managerial festival with competitions, workshops, exhibitions and lectures.",https://www.shaastra.org/,26th edition held/scheduled with 80 events and 130 stalls.,2025-01-03,Large national technical festival; student-led organisation,Student organising teams; current recruitment details to verify,recently active,S023,2026-06-26
Indian Institute of Technology Madras,Saarang,Cultural festival,official student-run festival,Annual cultural festival and major student-run campus event.,https://www.saarang.org/,51st edition held 9–13 January 2025.,2025-01-09,"Expected 80,000 footfall in official announcement",Student organising teams; current recruitment details to verify,recently active,S024,2026-06-26
Indian Institute of Technology Madras,Entrepreneurship Cell / E-Summit,Entrepreneurship,official student body,"Entrepreneurship events, startup exposure and E-Summit activities.",https://ecell.iitm.ac.in/,E-Summit is included in the optional 2026 student activity fee.,2026-05-04,,Current recruitment process to verify,recently active,S014,2026-06-26
Indian Institute of Technology Madras,Quiz Club,Literary and cultural,officially listed Sangam club,Conducts quiz activities and represents the institute at events.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Word Games Club,Literary and cultural,officially listed Sangam club,Word games and language-based competitive activities.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Music Club,Performing arts,officially listed Sangam club,"Student music practice, workshops and performance activities.",,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Oratory Club,Literary and public speaking,officially listed Sangam club,"Public speaking, debating and oratory activities.",,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Thespian Club,Theatre,officially listed Sangam club,"Drama, theatre and stage performance activities.",,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Writing Club,Literary,officially listed Sangam club,Creative and non-fiction writing activities.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Choreo Club,Dance,officially listed Sangam club,Dance and choreography practice and performance.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Fine Arts Club,Visual arts,officially listed Sangam club,"Drawing, painting and visual-art activities.",,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Media Club,Media and communication,officially listed Sangam club,Student media production and related creative work.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,E-Sports Club,Gaming,officially listed Sangam club,Competitive gaming and e-sports activities.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Comedy Club,Performing arts,officially listed Sangam club,Comedy writing and performance.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Classical Arts Club,Classical arts,officially listed Sangam club,Classical music and dance activities.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Film Appreciation Club,Film and media,officially listed Sangam club,Film screenings and appreciation discussions.,,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Design & VFX Club,Design and media,officially listed Sangam club,"Design, animation and visual-effects activities.",,,,,,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,LitSoc,Inter-hostel literary and cultural competition,official student activity,Year-long inter-hostel competition with freshie events.,,Official page says special points and early odd-semester events are intended for freshers.,,,Hostel-based participation,unable to verify,S019,2026-06-26
Indian Institute of Technology Madras,Nirmaan Pre-incubator,Entrepreneurship and incubation,institution-associated pre-incubator,Supports student ideas moving from CFI projects toward startups.,,CFI release reports teams engaging with Nirmaan and potential startups.,2025-03-15,Entrepreneurship pathway from student projects,Application/selection details to verify,recently active,S022,2026-06-26
