college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Information Technology Lucknow,Axios,Technical,Official/institution-associated,Coordinates technical wings and peer skill development.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Competitive Programming Wing, Axios",Technical,Official/institution-associated,"Competitive programming, contests and interview problem-solving.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Web Wing, Axios",Technical,Official/institution-associated,Web technologies and development projects.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"FOSS Wing, Axios",Technical,Official/institution-associated,Free/open-source contribution and community learning.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Machine Learning Wing, Axios",Technical,Official/institution-associated,"Machine learning, data science and AI activities.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Web3 Wing, Axios",Technical,Official/institution-associated,Blockchain and decentralised technology activities.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Design Wing, Axios",Technical,Official/institution-associated,"UI/UX, visual design and creative technology.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"App Wing, Axios",Technical,Official/institution-associated,Mobile application development and projects.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,"Infosec Wing, Axios",Technical,Official/institution-associated,"Information security, CTFs and security awareness.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,AfterDark,Cultural,Official/institution-associated,"Photography, videography and event documentation.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Goonj,Cultural,Official/institution-associated,"Stage plays, street theatre and dramatic expression.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Zephyr,Cultural,Official/institution-associated,"Dance training, performances and community events.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Utkrisht,Cultural,Official/institution-associated,Fine arts and creative expression.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Estrella,Cultural,Official/institution-associated,Music performances and collaborative practice.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Crotonia,Cultural,Official/institution-associated,"Writing, speaking, literature and MUN-related activities.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Entrepreneurship Cell,Entrepreneurship,Official/institution-associated,"Workshops, speakers, mentoring and entrepreneurship support.",https://ecell.iiitl.ac.in/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC023,2026-06-26
Indian Institute of Information Technology Lucknow,Seraphim,Social,Official/institution-associated,"Social awareness, education, donation and cleanliness initiatives.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Nivesh,Finance,Official/institution-associated,"Investment, finance, markets and business analysis.",https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
Indian Institute of Information Technology Lucknow,Eifer Sports Society,Sports,Official/institution-associated,Coordinates sports and campus competitions.,https://iiitl.ac.in/index.php/scholarships-offered/,Listed in current 2025-26 placement brochure/official student-life navigation,,,,recently active,SRC012,2026-06-26
