scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
James Thomason Scholarship,IIT Roorkee,Indian Institute of Technology Roorkee,All UG programmes,2026-27,JEE Advanced AIR up to 250,All,,All India / scheme-specific,CGPA at least 8.0 after every academic year,JEE Advanced AIR up to 250,250000,"INR 2.5 lakh per year; potentially applicable, not guaranteed.",Normal programme duration,Admission/rank and academic records,CGPA 8.0 or above every year,Verify current institute notice,https://iitr.ac.in/SCSP/,S002;S020,B
Tuition Fee Waiver — full,Government/IIT Roorkee,Indian Institute of Technology Roorkee,Normal-duration UG programmes,2026-27,General/EWS/OBC,All,100000,All India / scheme-specific,Income verification,None,100000,Full semester tuition waiver at current tuition rate for gross family income below INR 1 lakh; dual-degree coverage only through fourth year.,Normal programme duration / first four years of dual degree,Income certificate; undertaking; institute application,Annual income re-verification,"June 20, 2026 was stated on the scheme page",https://iitr.ac.in/SCSP/Schemes/TUITION%20FEE%20WAIVER%20SCHEME.html,S002;S021,B
Tuition Fee Waiver — two-thirds,Government/IIT Roorkee,Indian Institute of Technology Roorkee,Normal-duration UG programmes,2026-27,General/EWS/OBC,All,500000,All India / scheme-specific,Income verification,None,66667,Two-thirds tuition waiver for gross family income INR 1-5 lakh; current annual-equivalent value based on INR 2 lakh tuition.,Normal programme duration / first four years of dual degree,Income certificate; undertaking; institute application,Annual income re-verification,"June 20, 2026 was stated on the scheme page",https://iitr.ac.in/SCSP/Schemes/TUITION%20FEE%20WAIVER%20SCHEME.html,S002;S021,B
Merit-cum-Means Scholarship,IIT Roorkee,Indian Institute of Technology Roorkee,Eligible UG programmes,2026-27,General/EWS/OBC; up to 25% of class,All,500000,All India / scheme-specific,Fresh selection by JEE Advanced rank; later by preceding academic performance,JEE Advanced for fresh students,10000,"Minimum INR 10,000/year plus refund of remaining tuition fee; potentially applicable.",Normal programme duration / first four years of dual degree,Income and academic records; institute application,Maintain current academic and income conditions,Verify current notice,https://iitr.ac.in/SCSP/,S002;S020,B
SC/ST/PwD Tuition Exemption,Government of India / IIT Roorkee,Indian Institute of Technology Roorkee,All UG programmes,2026-27,SC/ST/PwD,All,,All India / scheme-specific,Category/disability document verification,None,200000,Full tuition exemption at current annual tuition rate; other charges remain payable.,Normal programme duration,Valid category/PwD certificate,Continued valid status,At admission/registration,https://iitr.ac.in/Academics/static/Institute_Fee/2026-27/UGIst.pdf,S005,B
SC/ST Free Basic Mess and Pocket Allowance,IIT Roorkee / Government support,Indian Institute of Technology Roorkee,Eligible UG programmes,2026-27,SC/ST,All,500000,All India / scheme-specific,Institute eligibility verification,None,,"Free basic mess, hostel room-rent exemption and INR 250/month pocket allowance; alternative without free mess carries INR 1,000/month pocket allowance.",Subject to current scheme,Category and income certificate,Annual verification,Verify current notice,https://iitr.ac.in/SCSP/,S002;S020,B
INSPIRE-SHE Scholarship,Department of Science and Technology,Indian Institute of Technology Roorkee,Eligible BS-MS science programmes,2026-27,Scheme-specific merit criteria,All,,All India / scheme-specific,INSPIRE eligibility and academic continuation,Scheme-specific,60000,"INR 60,000/year plus project reimbursement up to INR 20,000, subject to current DST rules.",Scheme duration,Scheme application and academic documents,Current INSPIRE continuation rules,Verify current DST/NSP deadline,https://scholarships.gov.in/,S002;S022,A
Institute Fellowship for Fifth-Year IDD Students,IIT Roorkee,Indian Institute of Technology Roorkee,Integrated dual-degree programmes,2026-27,Fifth-year IDD students,All,,All India / scheme-specific,"Coursework cleared; CGPA at least 8 without GATE, or GATE qualified with CGPA at least 5",GATE conditional,96000,"INR 8,000/month.",Fifth year,Academic transcript; GATE proof if applicable,Maintain registration and eligibility,Verify current institute notice,https://iitr.ac.in/SCSP/,S002;S020,B
Central Sector Scholarship of Top Class Education for SC Students,Ministry of Social Justice and Empowerment,Indian Institute of Technology Roorkee,Eligible UG programmes,2026-27,SC,All,800000,All India / scheme-specific,Current scheme rules,Admission to notified institution,,Potential tuition and living support as notified; official verification required.,Scheme duration,"Category, income, admission and bank documents",Scheme-specific academic continuation,Verify on NSP,https://scholarships.gov.in/,S022,A
Top Class Education for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Indian Institute of Technology Roorkee,Eligible UG programmes,2026-27,Eligible benchmark disability,All,800000,All India / scheme-specific,Current scheme rules,Admission to notified institution,,"Potential tuition, maintenance and assistive-device support as notified; official verification required.",Scheme duration,"Disability, income, admission and bank documents",Scheme-specific continuation,Verify on NSP,https://scholarships.gov.in/,S022,A
