college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Information Technology (IIIT) Nagpur,Schrodinger,2023-24,Specific role not published,software/data science,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Amazon,2023-24,Specific role not published,software engineering,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Intuit,2023-24,Specific role not published,software engineering,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,SMS Data Tech Japan,2023-24,Specific role not published,software/data,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Trilogy Innovations,2023-24,Specific role not published,software engineering,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,TCS Research and Innovation,2023-24,Specific role not published,software/research,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Moveworks,2023-24,Specific role not published,software/AI,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Zoho,2023-24,Specific role not published,software engineering,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,ElectricPe,2023-24,Specific role not published,software/product,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Millennium Semiconductors,2023-24,Specific role not published,electronics/semiconductors,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Techolution,2023-24,Specific role not published,software/AI,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Accenture,2023-24,Specific role not published,consulting/technology,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Accolade Electronics,2023-24,Specific role not published,electronics/embedded,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Siemens,2023-24,Specific role not published,electronics/software,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Phoenix,2023-24,Specific role not published,technology,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
Indian Institute of Information Technology (IIIT) Nagpur,Kuddle Technology,2023-24,Specific role not published,software/product,,Internship,confirmed for year,,,SRC007,"Listed in the official annual report among companies offering internships for the 2023-24 batch; role, branch eligibility, selected count and stipend were not consistently published.",B
