scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Complete Tuition Fee Waiver for SC/ST/PwD Students,Ministry of Education / SVNIT,"Sardar Vallabhbhai National Institute of Technology, Surat",B.Tech and eligible integrated programmes,2026-27,"SC, ST or PwD",Any,,None stated,Admitted and enrolled; official verification required,Admission through applicable route,,100% tuition fee waiver; other institutional and hostel/mess charges remain payable,Programme duration subject to rules,Valid category/PwD documents and institute forms,Continued eligibility and institute verification,,https://www.svnit.ac.in/web/fee-structure-inst.php,SRC007,A
Full Tuition Remission for Family Income Below ₹1 Lakh,Ministry of Education / SVNIT,"Sardar Vallabhbhai National Institute of Technology, Surat",B.Tech and eligible integrated programmes,2026-27,Economically backward General/OBC-NCL students,Any,100000,None stated,Admitted and enrolled,Admission through applicable route,,Full remission of tuition fee; other charges remain payable,Programme duration subject to annual verification,Current income certificate and institute remission form,Annual income verification and satisfactory enrollment,,https://www.svnit.ac.in/web/fee-structure-inst.php,SRC007,A
Two-Third Tuition Remission for Family Income ₹1-5 Lakh,Ministry of Education / SVNIT,"Sardar Vallabhbhai National Institute of Technology, Surat",B.Tech and eligible integrated programmes,2026-27,Economically backward General/OBC-NCL students,Any,500000,None stated,Admitted and enrolled,Admission through applicable route,,Remission of two-thirds of tuition fee; other charges remain payable,Programme duration subject to annual verification,Current income certificate and institute remission form,Annual income verification and satisfactory enrollment,,https://www.svnit.ac.in/web/fee-structure-inst.php,SRC007,A
Dr. A. P. Verma Scholarship in Mathematics,SVNIT / donor endowment,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics / students meeting published institute criteria,Current rules require confirmation,None stated,Any,,None stated,Merit in Mathematics; exact current criteria require confirmation,,,Institute-listed merit scholarship; current amount not verified,As notified,As notified by SVNIT,As notified,,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=229,SRC020,A
Nishith Vijay Sampat Merit Scholarship,SVNIT / donor endowment,"Sardar Vallabhbhai National Institute of Technology, Surat",Mechanical Engineering,Current rules require confirmation,None stated,Any,,None stated,Topper in Mechanical Engineering,,,Merit-based scholarship; current amount not published in reviewed source,As notified,Institute academic record,As notified,,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=229,SRC020,A
Shri Rajanikumar Majumadar Scholarship,SVNIT / donor endowment,"Sardar Vallabhbhai National Institute of Technology, Surat",Undergraduate students,Current rules require confirmation,None stated,Any,250000,None stated,Highest CGPA at end of first year,,,Continues to programme end if all semesters are cleared successfully,Remainder of programme subject to renewal,Income certificate and academic record,Clear all semesters successfully,,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=229,SRC020,A
National Merit / Merit / Post-Merit / Merit-cum-Means Schemes,Government agencies / SVNIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,Scheme-specific,Scheme-specific,,Scheme-specific,Scheme-specific,Scheme-specific,,Potentially applicable; exact amount and deadline require current notice,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://scholarships.gov.in/,SRC020,A
Top Class Education Scheme for SC Students,Government of India,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,SC,Scheme-specific,800000,,Scheme-specific,Scheme-specific,,Potential tuition and living support under current central rules; official verification required,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://scholarships.gov.in/,SRC020,A
National Fellowship and Scholarship for Higher Education of ST Students,Ministry of Tribal Affairs,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,ST,Scheme-specific,,,Scheme-specific,Scheme-specific,,Potential tuition and living support; official verification required,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://scholarships.gov.in/,SRC020,A
MYSY Scholarship,Government of Gujarat,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,Merit/income conditions,Scheme-specific,600000,Gujarat,Scheme-specific,Scheme-specific,,Potential fee assistance; current portal eligibility required,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://mysy.guj.nic.in/,SRC020,B
Digital Gujarat Post-Matric Scholarship,Government of Gujarat,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,Reserved/category-specific,Scheme-specific,,Gujarat,Scheme-specific,Scheme-specific,,Potential post-matric support; scheme-specific amount,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://www.digitalgujarat.gov.in/,SRC020,B
National Scholarship Portal Schemes,Government of India,"Sardar Vallabhbhai National Institute of Technology, Surat",Eligible SVNIT programmes,2026-27 potentially applicable,Scheme-specific,Scheme-specific,,Scheme-specific,Scheme-specific,Scheme-specific,,Potentially applicable central scholarships; no award is guaranteed,Scheme-specific,"Scheme-specific identity, category, income, domicile and academic documents",Scheme-specific,,https://scholarships.gov.in/,SRC020,A
