scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Central Sector Scholarship of Top Class Education for SC Students,Government of India,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,SC,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,Potential tuition and other support under current scheme guidelines; official verification required,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://scholarships.gov.in/,SRC023,A
National Fellowship and Scholarship for Higher Education of ST Students,Ministry of Tribal Affairs,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,ST,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,Potential support under current NSP guidelines; official verification required,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://scholarships.gov.in/,SRC023,A
Post-Matric Scholarships Scheme for Minorities,Government of India,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Notified minority communities,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,Potential post-matric support subject to live scheme status and eligibility,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://scholarships.gov.in/,SRC023,A
Scholarships for Top Class Education for Students with Disabilities,Government of India,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,PwD as notified,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,Potential support subject to current scheme rules,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://scholarships.gov.in/,SRC023,A
Andhra Pradesh Jnanabhumi Fee Reimbursement / Scholarship Schemes,Government of Andhra Pradesh,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Scheme-specific,Any,,Andhra Pradesh,Scheme-specific,Admission/enrolment and scheme-specific,,Potential fee reimbursement or scholarship; eligibility and benefit must be verified on the current portal,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://jnanabhumi.ap.gov.in/,SRC025,A
Telangana ePASS Post-Matric Scholarship,Government of Telangana,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Scheme-specific,Any,,Telangana,Scheme-specific,Admission/enrolment and scheme-specific,,Potential post-matric support; official verification required,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://telanganaepass.cgg.gov.in/,SRC026,A
Jharkhand e-Kalyan Scholarship,Government of Jharkhand,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,SC/ST/OBC/other notified categories,Any,,Jharkhand,Scheme-specific,Admission/enrolment and scheme-specific,,Potential post-matric support; official verification required,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://ekalyan.cgg.gov.in/,SRC027,A
Central Sector Interest Subsidy Scheme on Education Loans,Government of India / Canara Bank nodal bank,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Economically weaker section under scheme,Any,450000,India,Scheme-specific,Admission/enrolment and scheme-specific,,Interest subsidy during moratorium for eligible recognised technical/professional courses; verify current scheme continuation and bank terms,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://www.education.gov.in/scholarships-education-loan-4,SRC001,B
Canara Bank IIIT Sri City Education Loan Arrangement,Canara Bank,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Admitted IIIT Sri City student; bank appraisal,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,"Education loan up to ₹30 lakh, collateral-free with nil margin and nil processing/documentation charges as published; loan is not a scholarship and approval is not guaranteed",Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://www.vidyalakshmi.co.in/Students/,SRC001,B
Vidya Lakshmi Education Loan Portal,Government-supported banking portal,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Bank/scheme-specific,Any,,India,Scheme-specific,Admission/enrolment and scheme-specific,,Gateway to apply and track education-loan applications; not a guaranteed benefit,Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://www.vidyalakshmi.co.in/Students/,SRC024,A
Part-time Research or Teaching Assistant Opportunity,IIIT Sri City,"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",B.Tech students where scheme permits,2026-27; live notification required,Institute selection / availability,Any,,Any,Scheme-specific,Admission/enrolment and scheme-specific,,"Institute states students may take Research and Teaching Assistant jobs; payment, selection and availability are not publicly quantified",Scheme-specific,Scheme-specific; verify current notification,Scheme-specific,,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,SRC001,B
