college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Kharagpur,Accenture Japan,2023-24,Not publicly specified,Technology consulting,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Databricks USA,2023-24,Not publicly specified,Software / data,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Jindal Shadeed Iron & Steel Oman,2023-24,Not publicly specified,Core engineering,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Mercari Japan,2023-24,Not publicly specified,Software engineering,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,TSMC,2023-24,Not publicly specified,Electronics/VLSI,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,DENSO,2023-24,Not publicly specified,Embedded systems / automotive,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,AWL,2023-24,Not publicly specified,Unable to verify role,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,NTT-TX,2023-24,Not publicly specified,Technology,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Apple,2023-24,Not publicly specified,Technology / hardware-software,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Arthur D. Little,2023-24,Not publicly specified,Consulting,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Da Vinci,2023-24,Not publicly specified,Quantitative finance,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Capital One,2023-24,Not publicly specified,Finance / analytics,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,D. E. Shaw,2023-24,Not publicly specified,Finance / software,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,EXL Services,2023-24,Not publicly specified,Analytics,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Glean,2023-24,Not publicly specified,Software engineering,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Google,2023-24,Not publicly specified,Software engineering,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Graviton,2023-24,Not publicly specified,Quantitative finance,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Microsoft,2023-24,Not publicly specified,Software engineering,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,McKinsey & Company,2023-24,Not publicly specified,Consulting,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Quantbox,2023-24,Not publicly specified,Quantitative finance,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Squarepoint Capital,2023-24,Not publicly specified,Quantitative finance,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
Indian Institute of Technology Kharagpur,Palo Alto Networks,2023-24,Not publicly specified,Cybersecurity / software,Not publicly specified,Full-time / internship status not separated,confirmed for year,,,S011,"Named in the official 2023-24 annual report; company-specific roles, selections and CTC were not publicly verified.",B
