college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Information Technology Guwahati,Programming Club,Technical Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Technical Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,TechnoCrats - Robotics Club,Technical Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Technical Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Mavericks - The Machine Learning Society,Technical Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Technical Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Google Developer Students Club,Technical Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Technical Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Dance Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Photography Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Music Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Movie Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Reading Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Literary Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Quiz Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Drama Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Fine Arts Club,Cultural Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Cultural Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Outdoor Club,Sports Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Sports Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Indoor Club,Sports Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Sports Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Marketing & Design Club,Sports Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Sports Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Eco & Outreach Club,Welfare Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Welfare Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Health Club,Welfare Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Welfare Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
Indian Institute of Information Technology Guwahati,Girls’ Empowerment Group,Welfare Board,Officially listed in the 2026 JoSAA institute profile,Student club operating under the Welfare Board of the Students’ Gymkhana Council.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,Current 2026 profile lists the club; specific latest event not individually documented in the source.,,,,active,SRC001,2026-06-26
