college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Bombay,Institute Technical Council,Technical umbrella council,Official student council,Coordinates institute technical clubs and selections.,https://itc.gymkhana.iitb.ac.in/,Convener orientation and applications for 2026-27,2026-03-25,,"Groundwork, assignments and interviews described in current orientation notices",active,S018,2026-06-26
Indian Institute of Technology Bombay,Web and Coding Club,Coding and development,Official ITC club,"Coding, software development, open-source and hackathon activities.",https://gymkhana.iitb.ac.in/instiapp/org/wncc,WnCC x Kaya AI IIT India Hackathon,2026-06-16,,ITC selection cycle / club applications,active,S019,2026-06-26
Indian Institute of Technology Bombay,Electronics and Robotics Club,Robotics and electronics,Official ITC club,"Electronics, embedded systems, robotics and IoT workshops/projects.",https://gymkhana.iitb.ac.in/instiapp/org/erc,RTOS workshop and IoT development hackathon,2026-03-22,,ITC selection cycle / club applications,active,S020,2026-06-26
Indian Institute of Technology Bombay,Maths and Physics Club,Science,Official ITC club,"Mathematics and physics learning, problem-solving and science activities.",https://gymkhana.iitb.ac.in/instiapp/org/mnp-club,Current official organisation page,2026-03-28,,Current recruitment details require recheck,recently active,S021,2026-06-26
Indian Institute of Technology Bombay,The Design Club,Design,Official ITC club,"Design learning through orientations, projects and festival activities.",https://gymkhana.iitb.ac.in/instiapp/org/the-design-club,Vision Orientation 2026,2026-01-13,,Project registration/open participation; no prior design experience stated for Vision projects,active,S022,2026-06-26
Indian Institute of Technology Bombay,Aeromodelling Club,Aerospace and making,Official ITC club,Aeromodelling and hands-on aerospace activities.,https://itc.gymkhana.iitb.ac.in/aero/about/,Current official club page,,,ITC selection process; current details to verify,recently active,S024,2026-06-26
Indian Institute of Technology Bombay,AI Community,Artificial intelligence,Official ITC-linked community,"AI/ML learning, projects and peer community.",https://itc.gymkhana.iitb.ac.in/AIC/,Current official community page,,,Current recruitment details require recheck,recently active,S034,2026-06-26
Indian Institute of Technology Bombay,Symphony,Music,Official cultural club,Music performance and campus cultural activities.,https://gymkhana.iitb.ac.in/instiapp/org/symphony,Current official organisation page,,,Cultural council selections; current details to verify,recently active,S026,2026-06-26
Indian Institute of Technology Bombay,Roots,Culture and language,Official cultural club,Cultural and language-linked activities.,https://gymkhana.iitb.ac.in/instiapp/org/roots,Current official organisation page,,,Current recruitment details require recheck,recently active,S027,2026-06-26
Indian Institute of Technology Bombay,WeSpeak,Speaking and communication,Official cultural/communication club,"Public speaking, communication and discussion activities.",https://gymkhana.iitb.ac.in/instiapp/org/we-speak,Current official organisation page,,,Current recruitment details require recheck,recently active,S028,2026-06-26
Indian Institute of Technology Bombay,BioX Club,Biotechnology,Official technical club,Biotechnology learning and activities.,https://gymkhana.iitb.ac.in/instiapp/org/biotech-club,Current official organisation page,,,Current recruitment details require recheck,recently active,S029,2026-06-26
Indian Institute of Technology Bombay,Insight,Student media and journalism,Official student publication,"Campus journalism, reporting and student information.",https://gymkhana.iitb.ac.in/instiapp/org/insight,Current official organisation page,,,Editorial recruitment/process varies by cycle,active,S030,2026-06-26
Indian Institute of Technology Bombay,SilverScreen,Film and media,Official cultural club,"Film appreciation, filmmaking and media activities.",https://gymkhana.iitb.ac.in/instiapp/org/silverscreen,Current official organisation page,,,Current recruitment details require recheck,recently active,S031,2026-06-26
Indian Institute of Technology Bombay,StyleUp,Lifestyle and fashion,Official cultural club,"Lifestyle, fashion and related creative activities.",https://gymkhana.iitb.ac.in/instiapp/org/lifestyle-club,Current official organisation page,,,Current recruitment details require recheck,recently active,S032,2026-06-26
Indian Institute of Technology Bombay,Athletics Club,Sports,Official sports club,Athletics training and competition activities.,https://gymkhana.iitb.ac.in/instiapp/org/athletics,Current official organisation page,,,Sports council participation/selections; verify cycle,recently active,S033,2026-06-26
Indian Institute of Technology Bombay,Computer Science and Engineering Association,Department student association,Official department-associated body,"Academic, professional and community activities for CSE students.",https://www.cse.iitb.ac.in/csea/,Current official association page,,,Department association process,recently active,S025,2026-06-26
Indian Institute of Technology Bombay,Institute Cultural Council,Cultural umbrella council,Official student council,"Coordinates cultural clubs, events and inter-hostel activities.",https://gymkhana.iitb.ac.in/instiapp/org/gsca,Current official council page,,,Council/club selections; verify current notice,active,S023,2026-06-26
Indian Institute of Technology Bombay,Entrepreneurship Cell,Entrepreneurship,Official institution-associated student organisation,"Entrepreneurship education, competitions, mentorship and startup ecosystem activities.",https://www.ecell.in/,Current official organisation and annual initiatives,,,Role applications and event teams vary by cycle,active,S048,2026-06-26
Indian Institute of Technology Bombay,Mood Indigo,Cultural festival,Official institute student festival,Annual student-run cultural festival.,https://moodi.org/,Annual cultural festival cycle,,,Team recruitment varies by annual cycle,active,S049,2026-06-26
Indian Institute of Technology Bombay,Techfest,Science and technology festival,Official institute student festival,"Annual science and technology festival, competitions, exhibitions and talks.",https://techfest.org/,Annual technical festival cycle,,,Team recruitment varies by annual cycle,active,S050,2026-06-26
