college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
Indian Institute of Technology Roorkee,2021-22,UG 4-year,All 4-year UG,NIRF graduating cohort,824,,,737,89.44,87,17,,,,,,,,NIRF institution submission,S013,UG 4-year outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2022-23,UG 4-year,All 4-year UG,NIRF graduating cohort,911,,,733,80.46,178,19.69,,,,,,,,NIRF institution submission,S013,UG 4-year outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2023-24,UG 4-year,All 4-year UG,NIRF graduating cohort,1102,,,769,69.78,333,17,,,,,,,,NIRF institution submission,S013,UG 4-year outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2021-22,UG 5-year,All 5-year integrated UG,NIRF graduating cohort,123,,,95,77.24,28,22.54,,,,,,,,NIRF institution submission,S013,PG-integrated outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2022-23,UG 5-year,All 5-year integrated UG,NIRF graduating cohort,114,,,86,75.44,28,23.2,,,,,,,,NIRF institution submission,S013,PG-integrated outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2023-24,UG 5-year,All 5-year integrated UG,NIRF graduating cohort,128,,,68,53.12,60,21,,,,,,,,NIRF institution submission,S013,PG-integrated outcomes,Median salary in LPA; cohort scope differs from placement-cell registration.
Indian Institute of Technology Roorkee,2022-23,All programmes,Overall,Institute-wide placement report,,,1410,,,,,,,,751,279,,,Institute annual report,S012,Placement section,"1,233 total job offers; 279 placement companies. Offer count is not treated as unique placed students."
Indian Institute of Technology Roorkee,2023-24,All programmes,Overall,Institute-wide placement report,,1628,1628,1051,64.56,,,,,,533,243,,,Institute annual report,S011,Placement section,"1,113 total job offers; 1,051 accepted offers; 254 PPOs and 243 accepted. Programme table totals 1,629 registered, retained as a conflict."
Indian Institute of Technology Roorkee,2024-25,All programmes,Overall,Institute-wide placement report,,1481,1583,1009,63.74,,,,,,557,215,,,Institute annual report,S010,Report pp. 68-75 (PDF pp. 74-81),"1,074 total offers and 1,009 accepted; 230 PPOs and 215 accepted; 12 international offers. JoSAA profile gives a later/different 1,100 offers from 272 organisations and 578 internships."
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,Architecture,Branch-specific placement-report table,,,28,14,50.0,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),15 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,BSBE,Branch-specific placement-report table,,,26,15,57.69,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),16 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,CHE,Branch-specific placement-report table,,,113,75,66.37,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),86 total offers; effective placements used as students_placed.
Indian Institute of Technology Roorkee,2024-25,B.Tech./B.Arch.,CE,Branch-specific placement-report table,,,143,84,58.74,,,,,,,,,,Institute annual report,S010,Report p. 73 (PDF p. 79),87 total offers; effective placements used as students_placed.
