source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
SRC001,JoSAA 2026 institute profile and seat matrix,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,josaa.admissions.nic.in,Tier A - authoritative,official counselling profile,A,2026-27,,2026-06-26,identity;admissions;branches;seat_matrix;fees;hostels;facilities;clubs;location;placements,"Permanent Bongora campus, Guwahati, Assam","Current institute code 303, three B.Tech programmes, 277 regular seats and 57 female-supernumerary seats."
SRC002,JoSAA opening and closing rank archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - authoritative,official counselling archive,A,2023-2025,,2026-06-26,cutoffs,"Permanent Bongora campus, Guwahati, Assam",OPEN uses CRL; reserved-seat records use the corresponding category rank.
SRC003,User-supplied verified JoSAA cutoff extract,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - official-derived,verified structured extract,A,2023-2025,,2026-06-26,cutoffs,"Permanent Bongora campus, Guwahati, Assam",Filtered from the user-provided merged verified JEE cutoff dataset.
SRC004,CSAB Special 2025 Round 1 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,"Permanent Bongora campus, Guwahati, Assam",The supplied official PDF states that all CSAB ranks are All India CRL.
SRC005,CSAB Special 2025 Round 2 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,"Permanent Bongora campus, Guwahati, Assam",The supplied official PDF states that all CSAB ranks are All India CRL.
SRC006,CSAB Special 2025 Round 3 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,"Permanent Bongora campus, Guwahati, Assam",The supplied official PDF states that all CSAB ranks are All India CRL.
SRC007,IIIT Guwahati official website,https://www.iiitg.ac.in/,www.iiitg.ac.in,Tier B - institution-controlled,official website,B,2026,,2026-06-26,identity;programmes;contacts;events,"Permanent Bongora campus, Guwahati, Assam",
SRC008,IIIT Guwahati B.Tech fee schedule,https://www.iiitg.ac.in/fees.html,www.iiitg.ac.in,Tier B - institution-controlled,official fee page,B,2026-30,,2026-06-26,fees,"Permanent Bongora campus, Guwahati, Assam","Admission Batch 2026 tuition rises from INR 295,000 to INR 355,000 annually; current hostel and mess charges are subject to annual change."
SRC009,JoSAA 2026 fee and accommodation disclosure,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,josaa.admissions.nic.in,Tier A - authoritative,official counselling disclosure,A,2026-27,,2026-06-26,fees;hostel,"Permanent Bongora campus, Guwahati, Assam","First-semester institute fee INR 153,500 without hostel; on-campus hostel INR 15,000 and mess advance INR 16,000 per semester."
SRC010,"IIIT Guwahati Board of Governors meeting minutes, 45th meeting",https://www.iiitg.ac.in/uploads/2025/08/08/4e83b5cbf860914ac3b838bc9af254af.pdf,www.iiitg.ac.in,Tier B - institution-controlled,official board minutes,B,2025-26,2025,2026-06-26,fees;hostel;governance,"Permanent Bongora campus, Guwahati, Assam","Board resolved to approve hostel rent of INR 30,000 per annum; implementation is reconciled against current public fee pages."
SRC011,IIIT Guwahati placement status 2025-26,https://www.iiitg.ac.in/placements/past-stats-2025-26,www.iiitg.ac.in,Tier C - institution-associated,official placement-cell page,C,2025-26,2026-06-05,2026-06-26,placements;recruiters,"Permanent Bongora campus, Guwahati, Assam",Statistics as on 5 June 2026; includes on-campus and off-campus selection processes and some pending results.
SRC012,IIIT Guwahati placement status 2024-25,https://www.iiitg.ac.in/placements/past-stats-2024-25,www.iiitg.ac.in,Tier C - institution-associated,official placement-cell page,C,2024-25,2026-03-14,2026-06-26,placements;recruiters,"Permanent Bongora campus, Guwahati, Assam",Statistics as on 14 March 2026; includes on-campus and off-campus selection processes and pending results.
SRC013,IIIT Guwahati placement status 2023-24,https://www.iiitg.ac.in/placements/past-stats-2023-24,www.iiitg.ac.in,Tier C - institution-associated,official placement-cell page,C,2023-24,2024-04-30,2026-06-26,placements;recruiters,"Permanent Bongora campus, Guwahati, Assam",Statistics as on 30 April 2024; includes on-campus and off-campus selection processes and pending results.
SRC014,IIIT Guwahati training and placement cell,https://www.iiitg.ac.in/placements.html,www.iiitg.ac.in,Tier C - institution-associated,official placement-cell website,C,2026,,2026-06-26,placements;placement_process;facilities,"Permanent Bongora campus, Guwahati, Assam",
SRC015,IIIT Guwahati current scholarship and financial-assistance notice,https://www.iiitg.ac.in/uploads/2026/06/18/25c076ff3f2a2eb5fc6d78dff576a95a.pdf,www.iiitg.ac.in,Tier B - institution-controlled,official scholarship reference PDF,B,2026-27,2026-06-18,2026-06-26,scholarships,"Permanent Bongora campus, Guwahati, Assam",Lists government and private schemes that may be available; award is not guaranteed.
SRC016,National Scholarship Portal,https://scholarships.gov.in/,scholarships.gov.in,Tier A - authoritative,government scholarship portal,A,2026-27,,2026-06-26,scholarships,"Permanent Bongora campus, Guwahati, Assam","Current scheme availability, benefits, income limits and deadlines must be checked on the live portal."
SRC017,North Eastern Council scholarship information,https://necouncil.gov.in/scholarship,necouncil.gov.in,Tier A - authoritative,government scholarship information,A,2026-27,,2026-06-26,scholarships,"Permanent Bongora campus, Guwahati, Assam",NEC Merit Scholarship applicability and current conditions require live verification.
SRC018,IIIT Guwahati official facilities page,https://www.iiitg.ac.in/facilities.html,www.iiitg.ac.in,Tier B - institution-controlled,official facilities page,B,Legacy/current static page,,2026-06-26,hostels;facilities;library;network,"Permanent Bongora campus, Guwahati, Assam","Static page reports older hostel capacities of 680 boys and 170 girls, lower than the 2026 JoSAA profile."
SRC019,IIIT Guwahati official campus-life page,https://www.iiitg.ac.in/campus-life.html,www.iiitg.ac.in,Tier B - institution-controlled,official campus-life page,B,2026,,2026-06-26,clubs;fests;sports;hostels;mess;student_life,"Permanent Bongora campus, Guwahati, Assam",
SRC020,IIIT Guwahati anti-ragging information,https://www.iiitg.ac.in/anti-ragging.html,www.iiitg.ac.in,Tier B - institution-controlled,official anti-ragging page,B,2026,,2026-06-26,anti_ragging;grievance,"Permanent Bongora campus, Guwahati, Assam",
SRC021,National Anti-Ragging Portal,https://www.antiragging.in/,www.antiragging.in,Tier A - authoritative,government anti-ragging portal,A,2026,,2026-06-26,anti_ragging;grievance,"Permanent Bongora campus, Guwahati, Assam",
SRC022,NIRF India Rankings 2025 Engineering rank-band 201-300,https://www.nirfindia.org/Rankings/2025/EngineeringRanking300.html,www.nirfindia.org,Tier A - authoritative,government ranking portal,A,2025,,2026-06-26,ranking,"Permanent Bongora campus, Guwahati, Assam",
SRC023,NIRF India Rankings 2024 Engineering rank-band 151-200,https://www.nirfindia.org/Rankings/2024/EngineeringRanking200.html,www.nirfindia.org,Tier A - authoritative,government ranking portal,A,2024,,2026-06-26,ranking,"Permanent Bongora campus, Guwahati, Assam",
SRC024,NIRF India Rankings 2023 Engineering rank-band 151-200,https://www.nirfindia.org/Rankings/2023/EngineeringRanking200.html,www.nirfindia.org,Tier A - authoritative,government ranking portal,A,2023,,2026-06-26,ranking,"Permanent Bongora campus, Guwahati, Assam",
SRC025,IIIT Guwahati NIRF information page,https://www.iiitg.ac.in/nirf-ranking.html,www.iiitg.ac.in,Tier B - institution-controlled,official NIRF page,B,2025,,2026-06-26,ranking;nirf_submission,"Permanent Bongora campus, Guwahati, Assam",
SRC026,IIIT Guwahati visitor and connectivity disclosure,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=303,josaa.admissions.nic.in,Tier A - authoritative,official counselling profile,A,2026-27,,2026-06-26,location;connectivity,"Permanent Bongora campus, Guwahati, Assam","Campus is about 4 km from LGBI Airport, 19 km from Kamakhya Junction and 25 km from Guwahati Railway Station."
SRC027,IIIT Guwahati academic and hostel regulations,https://iiitg.ac.in/uploads/board_minutes/minutes_board21.pdf,iiitg.ac.in,Tier B - institution-controlled,official regulations in board record,B,Historical rules; verify current version,,2026-06-26,academics;attendance;hostel_rules,"Permanent Bongora campus, Guwahati, Assam",Contains a 75 percent attendance rule and residential/leave provisions; current applicability should be checked.
SRC028,IIIT Guwahati annual reports page,https://www.iiitg.ac.in/annual-report.html,www.iiitg.ac.in,Tier B - institution-controlled,official reports index,B,2024-25,,2026-06-26,annual_report;governance;facilities,"Permanent Bongora campus, Guwahati, Assam",
