scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Merit Scholarship I,TIET,Thapar Institute of Engineering and Technology,BE/BTech,2026-27,First 50 students irrespective of branch by JEE Main AIR,,,,>95% aggregate in specified 10+2 subjects,JEE Main 2026 AIR,,100% tuition fee plus development fee waiver,One academic year at a time; potentially renewable,"JEE rank, 10+2 marks and institute scholarship documents","Minimum 8.50 CGPA in preceding semesters, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Merit Scholarship II,TIET,Thapar Institute of Engineering and Technology,BE/BTech,2026-27,Next 60 students irrespective of branch by JEE Main AIR,,,,>90% aggregate in specified 10+2 subjects,JEE Main 2026 AIR,,100% tuition fee waiver,One academic year at a time; potentially renewable,"JEE rank, 10+2 marks and institute scholarship documents","Minimum 8.50 CGPA in preceding semesters, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Merit Scholarship III,TIET,Thapar Institute of Engineering and Technology,BE/BTech,2026-27,"First 10% of admitted students in each discipline, excluding over-and-above intake",,,,>85% aggregate in specified 10+2 subjects,JEE Main 2026 AIR; PCB rules apply separately to BME/BT,,50% tuition fee waiver,One academic year at a time; potentially renewable,Rank/marks and institute documents,"AGPA at least 8.00, no backlog, all courses passed and within top 10% of on-roll discipline",,https://admission.thapar.edu/,SRC004,B
Merit Scholarship IV-A,TIET,Thapar Institute of Engineering and Technology,BTech Biotechnology or Biomedical Engineering - PCB admission,2026-27,Top PCB-based institute rank across eligible branches,,,,>95% aggregate in specified 10+2 subjects,Institute rank based on PCB marks,,100% tuition plus development fee waiver,One academic year at a time; potentially renewable,PCB marks and institute documents,Same academic conditions as Merit I/II,,https://admission.thapar.edu/,SRC004,B
Merit Scholarship IV-B,TIET,Thapar Institute of Engineering and Technology,BTech Biotechnology or Biomedical Engineering - PCB admission,2026-27,Next PCB-based institute rank after IV-A,,,,>90% aggregate in specified 10+2 subjects,Institute rank based on PCB marks,,100% tuition fee waiver,One academic year at a time; potentially renewable,PCB marks and institute documents,Same academic conditions as Merit I/II,,https://admission.thapar.edu/,SRC004,B
Merit Scholarship IV-C,TIET,Thapar Institute of Engineering and Technology,BTech Biotechnology and Biomedical Engineering - PCB admission,2026-27,First 10% of PCB-admitted students; approximately three awards,,,,>85% aggregate in specified 10+2 subjects,Institute rank based on PCB marks,,50% tuition fee waiver,One academic year at a time; potentially renewable,PCB marks and institute documents,Same as Merit III,,https://admission.thapar.edu/,SRC004,B
Lateral Entry Merit Scholarship VI-A,TIET,Thapar Institute of Engineering and Technology,Second-year lateral-entry BE/BTech,2026-27,All eligible lateral-entry students,,,,>75% in diploma,Official lateral-entry admission,,50% tuition fee waiver,One academic year at a time,Diploma marks and admission records,"Minimum 8.50 CGPA, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Lateral Entry Merit Scholarship VI-B,TIET,Thapar Institute of Engineering and Technology,Second-year lateral-entry BE/BTech,2026-27,All eligible lateral-entry students,,,,>70% and <75% in diploma,Official lateral-entry admission,,30% tuition fee waiver,One academic year at a time,Diploma marks and admission records,"Minimum 8.50 CGPA, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Lateral Entry Merit Scholarship VI-C,TIET,Thapar Institute of Engineering and Technology,Second-year lateral-entry BE/BTech,2026-27,All eligible lateral-entry students,,,,>60% and <70% in diploma,Official lateral-entry admission,,25% tuition fee waiver,One academic year at a time,Diploma marks and admission records,"Minimum 8.50 CGPA, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Merit-Cum-Means Scholarship - Normal,TIET,Thapar Institute of Engineering and Technology,BE/BTech,2026-27,Twenty awards; ascending family-income order; official tie preference applies,Girl from family with no male child receives tie preference,1000000,,Official merit-cum-means criteria,Admitted to eligible programme,,Tuition and development fee waiver,One academic year at a time; potentially renewable,Income evidence and institute application,"Minimum 7.50 CGPA, no backlog and all courses passed",,https://admission.thapar.edu/,SRC004,B
Merit-Cum-Means Scholarship - Special,TIET,Thapar Institute of Engineering and Technology,BE/BTech,2026-27,Up to five cases selected under special MCM criteria,,1000000,,Official special-case committee criteria,Admitted to eligible programme,,Tuition and development fee waiver,One academic year at a time,Income and supporting special-circumstance documents,Official continuation criteria,,https://admission.thapar.edu/,SRC004,B
Merit-Cum-Means Scholarship - Lateral Entry,TIET,Thapar Institute of Engineering and Technology,Lateral-entry BE/BTech,2026-27,Two awards,,1000000,,>70% diploma marks,Official lateral-entry admission,,Tuition and development fee waiver,One academic year at a time,Diploma and income evidence,Official MCM continuation conditions,,https://admission.thapar.edu/,SRC004,B
Vimlasons Charitable Foundation Scholarship,Vimlasons Charitable Foundation / TIET,Thapar Institute of Engineering and Technology,First-year undergraduate programme,2026-27,One eligible girl student,Female,1000000,,At least 75% in both Class 10 and 12,Admitted to TIET,50000,"INR 50,000 per year",Per donor/institute conditions,"Marks, income and institute scholarship documents",Official donor/institute conditions,,https://admission.thapar.edu/,SRC004,B
Smt. Sudarshan Syanghal Sehgal Scholarship,Donor-supported / TIET,Thapar Institute of Engineering and Technology,First-year BE/BTech,2026-27,One merit-cum-means award,,1000000,,Official merit-cum-means selection,Admitted in 2026-27/eligible cycle,50000,"INR 50,000 per year",Per donor/institute conditions,"Marks, income and institute documents",Official donor/institute conditions,,https://admission.thapar.edu/,SRC004,B
