college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Sardar Vallabhbhai National Institute of Technology, Surat",Uber,2023-24 / historical list in 2024-25 brochure,Specific role not published,software/product,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",NVIDIA,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI and software,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",AMD,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Texas Instruments,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Qualcomm,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Google,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Atlassian,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Commvault,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Meesho,2023-24 / historical list in 2024-25 brochure,Specific role not published,software/product,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Visa,2023-24 / historical list in 2024-25 brochure,Specific role not published,software/analytics,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Microsoft,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Flipkart,2023-24 / historical list in 2024-25 brochure,Specific role not published,software/product,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Oracle,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",NXP Semiconductors,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Wells Fargo,2023-24 / historical list in 2024-25 brochure,Specific role not published,technology/finance,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",SAP Labs,2023-24 / historical list in 2024-25 brochure,Specific role not published,software engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Barclays,2023-24 / historical list in 2024-25 brochure,Specific role not published,technology/finance,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Engineers India Limited,2023-24 / historical list in 2024-25 brochure,Specific role not published,core engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",JPMorgan Chase,2023-24 / historical list in 2024-25 brochure,Specific role not published,technology/finance,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Federal Bank,2023-24 / historical list in 2024-25 brochure,Specific role not published,banking/finance,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",BPCL,2023-24 / historical list in 2024-25 brochure,Specific role not published,core engineering/operations,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Marvell Semiconductors,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Micron Technology,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",MediaTek,2023-24 / historical list in 2024-25 brochure,Specific role not published,electronics/VLSI,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Futures First,2023-24 / historical list in 2024-25 brochure,Specific role not published,finance/analytics,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Warner Bros. Discovery,2023-24 / historical list in 2024-25 brochure,Specific role not published,software/media technology,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",John Deere,2023-24 / historical list in 2024-25 brochure,Specific role not published,mechanical/core engineering,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
"Sardar Vallabhbhai National Institute of Technology, Surat",Vedanta,2023-24 / historical list in 2024-25 brochure,Specific role not published,core engineering/operations,,Full-time/internship/PPO not distinguished,historical recruiter officially listed,,,SRC019,"Named in official CDC campus brochure; exact year-by-company, role, branch eligibility and package were not published.",C
