college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",ENIGMA - Cyber Security Club,technical,Official/institution-associated,Cybersecurity learning and activities,https://iiits.ac.in/enigma-cyber-security-club/,Official listing or club page available; activity depth varies by club,2024,,Not consistently published; verify with current Student Development Council,recently active,SRC018,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Matrix - Data Science Club,technical,Official/institution-associated,Data-science learning and projects,https://iiits.ac.in/matrix-data-science-club/,Official listing or club page available; activity depth varies by club,2024,,Not consistently published; verify with current Student Development Council,recently active,SRC016,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Internet of Things Club,technical,Official/institution-associated,IoT and embedded-system activities,https://iiits.ac.in/internet-of-things-club/,Official listing or club page available; activity depth varies by club,2024,,Not consistently published; verify with current Student Development Council,recently active,SRC020,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",EPOCH - AI and Machine Learning Club,technical,Official/institution-associated,AI and machine-learning learning and events,https://iiits.ac.in/epoch-artificial-intelligence-and-machine-learning-club/,Official listing or club page available; activity depth varies by club,2024-06-06,,Not consistently published; verify with current Student Development Council,recently active,SRC015,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Programming Club,technical,Official/institution-associated,Programming and competitive-coding activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",IOTA - Project Club,technical,Official/institution-associated,Student project development and peer collaboration,https://iiits.ac.in/iota-project-club/,Official listing or club page available; activity depth varies by club,2024,,Not consistently published; verify with current Student Development Council,recently active,SRC017,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Arts and Design Club,cultural,Official/institution-associated,Visual arts and design activities,https://iiits.ac.in/arts-and-design-club/,Official listing or club page available; activity depth varies by club,2024,,Not consistently published; verify with current Student Development Council,recently active,SRC021,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Dance Club,cultural,Official/institution-associated,Dance practice and cultural performances,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Film Club,cultural,Official/institution-associated,Film and media activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Literature and Theatre Club,cultural,Official/institution-associated,Literary and theatre activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Music Club,cultural,Official/institution-associated,Music practice and performances,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Photography Club,cultural,Official/institution-associated,Photography and visual documentation,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Adventure Club,social,Official/institution-associated,Outdoor and adventure activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Hope Club,social service,Official/institution-associated,Social-service and outreach activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Nature Club,environment,Official/institution-associated,Environmental and nature activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Entrepreneurship Cell,entrepreneurship,Official/institution-associated,Startup and entrepreneurship programmes,https://iiits.ac.in/e-cell/,Official listing or club page available; activity depth varies by club,2026,,Not consistently published; verify with current Student Development Council,active,SRC019,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Student Development Council,student governance,Official/institution-associated,"Coordinates technical, cultural, social and sports clubs",https://iiits.ac.in/student-development-council-2025/,Official listing or club page available; activity depth varies by club,2025,,Not consistently published; verify with current Student Development Council,active,SRC014,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Unnat Bharat Abhiyan,social outreach,Official/institution-associated,Rural-development engagement under the national programme,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Ek Bharat Shreshtha Bharat,cultural exchange,Official/institution-associated,Inter-state cultural exchange activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=307,Official listing or club page available; activity depth varies by club,,,Not consistently published; verify with current Student Development Council,active,SRC001,2026-06-26
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",Gyan Circle Ventures Student Innovation Ecosystem,innovation,Official/institution-associated,Incubation and innovation support connected to the institute TBI,https://iiits.ac.in/gyan-circle-ventures/,Official listing or club page available; activity depth varies by club,2026,,Not consistently published; verify with current Student Development Council,active,SRC022,2026-06-26
