scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
PM-USP Central Sector Scheme of Scholarship for College and University Students,"Department of Higher Education, Government of India",Indian Institute of Information Technology (IIIT) Pune,UG degree programmes,2026-27 — recheck portal,No specific caste category; merit-cum-means rules apply,,450000,Indian applicant; board-based eligibility,Typically above the 80th percentile of successful Class XII candidates in the relevant stream/board; current guideline controls,,,"For B.Tech/BE under the 2025-26 FAQ: ₹12,000 per year for the first three years and ₹20,000 in the fourth year, subject to selection and renewal","Up to prescribed degree duration, subject to renewal",OTR/Aadhaar as applicable; income certificate; board records; bank details; institute verification,Annual renewal; at least 50% marks and 75% attendance under the 2025-26 FAQ; no other scholarship/fee reimbursement,,https://scholarships.gov.in/,S012,A — scheme; college/student eligibility requires verification
Central Sector Scholarship of Top Class Education for SC Students,Ministry of Social Justice and Empowerment,Indian Institute of Information Technology (IIIT) Pune,Full-time notified courses at empanelled institutions,2026-27 — verify current empanelment,Scheduled Caste,,800000,India; scheme rules apply,Admission to an eligible full-time course and selection within institution/scheme slots,Admission through the institution's prescribed process,,Tuition/non-refundable charges and other components subject to current scheme ceilings,"Course duration, subject to renewal",Caste certificate; income certificate; admission proof; bank/identity records; NSP documents,Satisfactory performance and annual verification,,https://scholarships.gov.in/,S013,A — scheme; current IIIT Pune empanelment must be checked
PM-YASASVI Top Class Education in College for OBC/EBC/DNT Students,Ministry of Social Justice and Empowerment,Indian Institute of Information Technology (IIIT) Pune,Undergraduate full-time programme at a notified institution,2026-27 — verify latest notified list,"OBC, EBC or DNT under scheme definitions",,250000,India; category and scheme rules apply,Admission to prescribed full-time course; inter-se merit and available slots,Admission criteria for the course,,Tuition/non-refundable charges and other scheme components subject to ceilings,"Course duration, subject to annual renewal",Category certificate; income certificate; admission proof; bank/identity records; NSP documents,Satisfactory performance; apply for renewal each year,,https://scholarships.gov.in/,S015,A for 2024-25 IIIT Pune listing; 2026-27 requires verification
Post-Matric Scholarship for SC Students,Ministry of Social Justice and Empowerment with State/UT implementation,Indian Institute of Information Technology (IIIT) Pune,Post-matric/higher education,2026-27 — state cycle varies,Scheduled Caste,,250000,State/UT of domicile administers the award,Enrolled in an eligible recognized course; state rules apply,,,Compulsory non-refundable fees and maintenance/other allowances as implemented by domicile state,Course duration subject to renewal,Caste/income/domicile certificates; admission and fee proof; bank/identity details,State rules and satisfactory continuation,,https://scholarships.gov.in/,S016,A — scheme; state implementation and student fit vary
National Fellowship and Scholarship for Higher Education of ST Students — Top Class Scholarship,Ministry of Tribal Affairs,Indian Institute of Information Technology (IIIT) Pune,Eligible full-time higher-education courses in notified institutions,2026-27 — verify latest institution list,Scheduled Tribe,,,India; scheme rules apply,Admission to eligible institution/course; selection rules apply,As required for admission,,Tuition and other approved components subject to current scheme rules,Course duration subject to renewal,ST certificate; income certificate if required; admission proof; bank/identity records,Annual renewal and satisfactory progress,,https://scholarships.gov.in/,S017,A — scheme; IIIT Pune/current-year listing must be verified
State Post-Matric / Freeship Schemes through domicile portal,Relevant State Government / UT,Indian Institute of Information Technology (IIIT) Pune,Eligible higher-education programmes,2026-27 — domicile-specific,Varies by scheme: SC/ST/OBC/EBC/EWS/minority/other,Varies,,Applicant's domicile state/UT,Varies,,,"Potential fee reimbursement, maintenance allowance or freeship; not guaranteed",Varies,Domicile/category/income/admission/fee/bank documents as applicable,Varies by scheme,,https://scholarships.gov.in/,S011,A for portal existence; E for individual applicability until matched
Merit-Cum-Means Scholarship for Professional and Technical Courses CS,Government of India — administering authority to verify,Indian Institute of Information Technology (IIIT) Pune,Professional/technical courses,2024-25 institution-reported disbursement,Current scheme rules must be checked,,,,,,,"IIIT Pune's official profile reports 11 recipients in AY 2024-25; current eligibility, benefit and continuation require portal verification",,,,,https://scholarships.gov.in/,S025,A for institution-reported recipient count; current scheme details incomplete
Scholarship for Top Class Education for Students with Disabilities,Government of India — Department of Empowerment of Persons with Disabilities,Indian Institute of Information Technology (IIIT) Pune,Eligible higher-education programmes,2024-25 institution-reported disbursement,Student with benchmark disability under current scheme rules,,,,,,,Official profile appears to report 14 recipients in AY 2024-25; source typography is irregular and the count requires manual confirmation,,,,,https://scholarships.gov.in/,S025,A for official profile; B for parsed recipient count
MahaDBT Scholarship / Freeship Schemes,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Pune,Eligible IIIT Pune programmes,2024-25 institution-reported disbursement,Varies by MahaDBT scheme,Varies,,"Maharashtra, subject to scheme",Varies,,,IIIT Pune's official profile reports 90 Maharashtra students received MahaDBT scholarships in AY 2024-25,,,,,https://mahadbt.maharashtra.gov.in/,S025,A for institution-reported recipient count; scheme-specific eligibility incomplete
Prime Minister's Special Scholarship Scheme (PMSSS) for Jammu and Kashmir/Ladakh,Government of India / AICTE — current rules to verify,Indian Institute of Information Technology (IIIT) Pune,Eligible undergraduate programmes,2024-25 institution-reported disbursement,Current PMSSS rules apply,,,Jammu and Kashmir/Ladakh under current scheme rules,,,,IIIT Pune's official profile reports 2 recipients in AY 2024-25,,,,,,S025,A for institution-reported recipient count; current scheme details incomplete
