college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Thapar Institute of Engineering and Technology,CARE,community/service,Officially listed in the 2026 student-activities catalogue,Community outreach and social responsibility activities,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Creative Computing Society,technical/computing,Officially listed in the 2026 student-activities catalogue,"Computing, development and technical activities",https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,GENE,technical/entrepreneurial,Officially listed in the 2026 student-activities catalogue,Innovation and engineering activity group,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Linux User Group - TIET,technical/open source,Officially listed in the 2026 student-activities catalogue,Linux and open-source learning community,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Institution's Innovation Council,innovation/entrepreneurship,Officially listed in the 2026 student-activities catalogue,"Institutional innovation, entrepreneurship and startup activities",https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,MARS,technical/robotics,Officially listed in the 2026 student-activities catalogue,Robotics and engineering project activities,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,SOMIE,technical/mechanical,Officially listed in the 2026 student-activities catalogue,Mechanical and industrial engineering society,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Team Oorja,technical/automotive,Officially listed in the 2026 student-activities catalogue,Student engineering/project team,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,TAAS,technical/aeromodelling,Officially listed in the 2026 student-activities catalogue,Aeronautics and aeromodelling society,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Thapar Society of Civil Engineers,technical/civil,Officially listed in the 2026 student-activities catalogue,Civil engineering student society,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,MUDRA,cultural,Officially listed in the 2026 student-activities catalogue,Cultural and performing arts activities,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Fine Arts and Photography Society,cultural/creative,Officially listed in the 2026 student-activities catalogue,Fine arts and photography,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Pratigya,community/education,Officially listed in the 2026 student-activities catalogue,Community service and education initiative,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,Thapar Model United Nations,debate/diplomacy,Officially listed in the 2026 student-activities catalogue,Model United Nations and public-speaking activities,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
Thapar Institute of Engineering and Technology,ENACTUS Thapar,entrepreneurship/social impact,Officially listed in the 2026 student-activities catalogue,Social entrepreneurship projects,https://static.npfs.co/accounts/664/documents/2026/1/24/4d37110458134e2596d49a358bd97dd1_28%20STUDENT%20ACTIVITIES.pdf,Current dated activity was not independently verified for this individual society,,,Refer to current society recruitment/Frosh notices; central document does not provide a consistent process,unable to verify,SRC006,2026-06-27
