college_name,academic_year,programme,category_or_quota,annual_tuition_inr,semester_tuition_inr,full_programme_tuition_inr,admission_fee_inr,registration_fee_inr,exam_fee_inr,refundable_deposit_inr,annual_hostel_fee_inr,annual_mess_fee_inr,other_compulsory_fee_inr,calculated_four_year_cost_inr,source_id,source_page,notes
Thapar Institute of Engineering and Technology,2026-27,Computer Engineering,Indian regular admission,514000,257000,2056000,30000,,6000,,,,130000,2630000,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Computer Science and Engineering (Patiala Campus),Indian regular admission,514000,257000,2056000,30000,,6000,,,,130000,2630000,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Computer Science and Business Systems,Indian regular admission,514000,257000,2056000,30000,,6000,,,,130000,2630000,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Artificial Intelligence and Data Science,Indian regular admission,514000,257000,2056000,30000,,6000,,,,130000,2630000,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electrical and Computer Engineering,Indian regular admission,453600,226800,1814400,30000,,6000,,,,130000,2388400,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electronics and Communication Engineering,Indian regular admission,453600,226800,1814400,30000,,6000,,,,130000,2388400,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electronics and Computer Engineering,Indian regular admission,514000,257000,2056000,30000,,6000,,,,130000,2630000,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Robotics and Artificial Intelligence,Indian regular admission,453600,226800,1814400,30000,,6000,,,,130000,2388400,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electronics Engineering (VLSI Design and Technology),Indian regular admission,453600,226800,1814400,30000,,6000,,,,130000,2388400,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electronics (Instrumentation and Control) Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Mechanical Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Mechatronics,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Chemical Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Civil Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Civil Engineering with Computer Applications,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Electrical Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Biomedical Engineering,Indian regular admission,365200,182600,1460800,30000,,6000,,,,126000,2018800,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27,Biotechnology,Indian regular admission,453600,226800,1814400,30000,,6000,,,,130000,2388400,SRC003,1,Four-year academic total is the published eight-semester programme fee plus one-time admission fee. Annual exam and other-compulsory fields are annualized at the current semester rate; hostel/mess excluded.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel J - minimum published room charge option,,,,,,,,69200,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel J - maximum published room charge option,,,,,,,,120000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel K - lower option,,,,,,,,91000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
Thapar Institute of Engineering and Technology,2026-27 document; hostel session label requires confirmation,Hostel accommodation - Patiala Campus,Hostel K - higher option,,,,,,,,114000,53800,,,SRC003,2,Annualized from per-semester current-rate room and tentative mess charges. Allotment and room type are subject to availability; actual mess charges depend on consumption.
