college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Roorkee,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech.,4,109,8,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech.,4,154,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,94,15,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Electrical Engineering (4 Years, Bachelor of Technology)",EE,B.Tech.,4,150,15,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,100,9,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech.,4,47,3,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech.,4,125,25,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgy & Materials,B.Tech.,4,70,12,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production & Industrial Engineering,B.Tech.,4,50,8,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",DS & AI,B.Tech.,4,40,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",BSBE,B.Tech.,4,44,2,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,B.Tech.,4,20,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Architecture (5 Years, Bachelor of Architecture)",Architecture,B.Arch.,5,30,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Geological Technology (5 Years, Integrated Master of Technology)",Geological Technology,Integrated M.Tech.,5,38,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Geophysical Technology (5 Years, Integrated Master of Technology)",Geophysical Technology,Integrated M.Tech.,5,38,3,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Physics,BS-MS,5,25,2,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",MnC,BS-MS,5,44,5,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Chemical Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Chemical Sciences,BS-MS,5,35,0,0,Not independently verified,2026-27,S002
Indian Institute of Technology Roorkee,"Economics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",Economics,BS-MS,5,33,0,0,Not independently verified,2026-27,S002
