college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Guwahati,Coding Club,technical,Institution-associated official student body,"Programming, competitive coding, development and hackathons",https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Equinox Club,technical,Institution-associated official student body,Astronomy and space-science activities,https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Robotics Club,technical,Institution-associated official student body,"Mechanical, electronics and software robotics projects",https://www.iitg.ac.in/sa/roboclub/,Current official page reviewed,2026,,Club-specific induction/workshops; verify current cycle,active,S027,2026-06-26
Indian Institute of Technology Guwahati,Finance and Economics Club,finance/economics,Institution-associated official student body,"Finance, economics and markets learning",https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Consulting and Analytics Club,consulting/analytics,Institution-associated official student body,"Consulting cases, analytics and business problem solving",https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Prakriti Club,technical/environment,Institution-associated official student body,Technology-led environmental projects and campus sustainability,https://www.iitg.ac.in/prakriti/,Current official page reviewed,2026,Current green-tech and biodiversity projects displayed on official page,Club-specific induction/workshops; verify current cycle,active,S028,2026-06-26
Indian Institute of Technology Guwahati,Automobile Club,technical,Institution-associated official student body,Automotive engineering and student vehicle projects,https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Electronics Club,technical,Institution-associated official student body,"Electronics projects, circuits and embedded systems",https://iitg.ac.in/sa/electronicsclub/,Current official page reviewed,2026,,Club-specific induction/workshops; verify current cycle,active,S030,2026-06-26
Indian Institute of Technology Guwahati,Entrepreneurship Development Cell,entrepreneurship,Institution-associated official student body,"Entrepreneurship, startup events and incubation exposure",https://iitg.ac.in/sa/ecell/index.html,Current official page reviewed,2026,,Club-specific induction/workshops; verify current cycle,active,S029,2026-06-26
Indian Institute of Technology Guwahati,Aeromodelling Club,technical,Institution-associated official student body,"Aircraft, drones and aerial-robotics projects",https://www.iitg.ac.in/fresherportal/tech_b.html,Official aeromodelling achievement release available,2022,Inter-IIT technical medals reported by official institute release,Club-specific induction/workshops; verify current cycle,recently active,S024,2026-06-26
Indian Institute of Technology Guwahati,Quiz Club,quiz/general knowledge,Institution-associated official student body,Quizzing events and inter-college participation,https://www.iitg.ac.in/fresherportal/tech_b.html,Static official club listing reviewed,,,Club-specific induction/workshops; verify current cycle,unable to verify,S024,2026-06-26
Indian Institute of Technology Guwahati,Cadence,dance,Institution-associated official student body,Choreography and dance performances,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Xpressions,dramatics,Institution-associated official student body,"Theatre, mime and street plays",https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Fine Arts Club,fine arts,Institution-associated official student body,"Painting, illustration and visual arts",https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Publications Club,publications,Institution-associated official student body,Student publications and editorial work,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Literary Society,literary,Institution-associated official student body,"Writing, literature and language activities",https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Debating Society,debate,Institution-associated official student body,Competitive debate and public speaking,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Octaves,music,Institution-associated official student body,Music performance and practice,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Montage,photography,Institution-associated official student body,Photography and visual storytelling,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
Indian Institute of Technology Guwahati,Lumière,film,Institution-associated official student body,Film appreciation and filmmaking,https://www.iitg.ac.in/fresherportal/cultural_b.html,Official cultural-board listing reviewed; recent dated event not consistently available,,,Club-specific induction/auditions; verify current cycle,unable to verify,S025,2026-06-26
