college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Information Technology (IIIT) Nagpur,D-Taraxia,Dance,Official/institution-associated,Dance club associated with Abhivyakti cultural events,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Abhivyakti 2026 participation,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Crescendo,Music,Official/institution-associated,Music club associated with institute cultural activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Abhivyakti 2026 participation,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Orator,Public speaking / Model United Nations,Official/institution-associated,Communication and MUN activity group,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,MUN activity during Abhivyakti 2026,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Strokes,Art,Official/institution-associated,Art and creative activities club,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Abhivyakti 2026 participation,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Probe,Media / cinema / publicity,Official/institution-associated,Media and creative communications club,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Abhivyakti 2026 participation,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Estoria,Theatre,Official/institution-associated,Theatre and dramatics club,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Abhivyakti 2026 participation,2026-03-20,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,CRISPR,Technical / coding,Official/institution-associated,Student technical and coding community visible in institute activities and campus media,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Campus tour and technical-fest activity,2025-10-10,,Not publicly verified,active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Udyam / E-Cell,Entrepreneurship,Official/institution-associated,Entrepreneurship and startup activity group,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=320,Institution entrepreneurship activity,,,Not publicly verified,recently active,SRC001,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,7C Club,Communication and public speaking,Official/institution-associated,Communication and public-speaking club listed by the institute,https://www.iiitn.ac.in/placements,Officially listed current club,,,Not publicly verified,recently active,SRC013,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Electoral Literacy Club,Civic engagement,Official/institution-associated,Official electoral awareness and civic literacy club,https://www.iiitn.ac.in/pages/electoral-literacy-club,Official club page available,,,Not publicly verified,recently active,SRC014,2026-06-26
Indian Institute of Information Technology (IIIT) Nagpur,Institution Innovation Council,Innovation and entrepreneurship,Official/institution-associated,Institute-level innovation and entrepreneurship council with student participation,https://www.iiitn.ac.in/pages/institute-innovation-council-iic,Official IIC page available,,,Not publicly verified,recently active,SRC015,2026-06-26
