scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Institute Merit Scholarship (IMS),IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech/B.Des/MSc/MA,2026-27,Any,Any,,None stated,Year-wise class topper; awarded from second year,Not separately stated,,Merit scholarship; current amount requires notice verification,One academic year; verify renewal,Institute application and academic records,Continue to satisfy current merit rules,Verify current notice,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Institute Merit-cum-Means Scholarship,IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech/B.Des/MSc/MA,2026-27,Non-SC/ST; up to 25% of students subject to rules,Any,,None stated,Merit-cum-means selection,Not separately stated,,Potentially applicable; current amount and income ceiling require notice verification,Verify current rules,Income and academic documents,Current academic and means criteria,Verify current notice,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
SC-ST Scholarship,IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech/B.Des/MSc/MA,2026-27,SC or ST,Any,,None stated,As per institute rules,Not separately stated,,Available to eligible SC/ST students with specified income level; current threshold and benefits require notice verification,Verify current rules,Category and income certificates,Continued eligibility,Verify current notice,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Student Travel Assistance Fund,IIT Guwahati,Indian Institute of Technology Guwahati,All students,2026-27,Meritorious applicant with approved academic travel,Any,,None stated,Presentation/participation in eligible academic events,None,,"Support for national/international conferences, workshops and scientific meetings",Per approved event,Acceptance/invitation and institute approvals,Fresh application,Event-specific,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Student Contingency Fund,IIT Guwahati,Indian Institute of Technology Guwahati,All students,2026-27,Unexpected serious difficulty,Any,,None stated,Not stated,None,,"Potential support for accident, illness or family calamity; official verification required",Case-specific,Evidence of contingency and institute forms,Case-specific,As needed,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Students’ Brotherhood Fund — Loan of Honour,IIT Guwahati,Indian Institute of Technology Guwahati,All students,2026-27,Deserving applicant,Any,,None stated,Not stated,None,,Interest-free refundable assistance for educational or medical expenses,Case-specific loan,Need evidence and institute application,Repayment required,As notified,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Director’s Special Scholarship,IIT Guwahati,Indian Institute of Technology Guwahati,All students,2026-27,Genuine means-based case,Any,,None stated,Institute discretion,None,,Up to five awards may be made per year; not guaranteed,As approved,Means evidence and institute application,Not stated,Verify current process,https://www.iitg.ac.in/iitg_page_details?page=10/financial-assistance,S020,B
Statutory tuition-fee exemption,Government of India / IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech,2026-27,SC/ST/PwD,Any,,None stated,Continue enrolment,Admitted through applicable route,800000,Full tuition exemption over eight semesters at the current published tuition rate; other fees remain payable,"Normal programme duration, subject to rules",Valid category/PwD documents,Continued eligibility,At admission/semester registration,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=117,S002,A
Income-based full tuition remission,Government of India / IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech,2026-27,Parents’ annual income below INR 1 lakh,Any,100000,None stated,Continue enrolment,Admitted through applicable route,800000,"Full tuition waiver at current rate; other institutional, hostel and mess fees remain payable",Subject to annual income verification,Current income certificate and institute documents,Annual income verification,At admission/semester process,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=117,S002,A
Income-based two-thirds tuition remission,Government of India / IIT Guwahati,Indian Institute of Technology Guwahati,B.Tech,2026-27,Parents’ annual income INR 1-5 lakh,Any,500000,None stated,Continue enrolment,Admitted through applicable route,533333,Two-thirds tuition remission across eight semesters at unchanged current rate; official annual verification required,Subject to annual income verification,Current income certificate and institute documents,Annual income verification,At admission/semester process,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=117,S002,A
