source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
SRC001,JoSAA 2026 institute profile and seat matrix,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=228,josaa.admissions.nic.in,Tier A - official,official counselling profile,A,2026-27,2026,2026-06-26,identity;admissions;branches;seat_matrix;fees;location;facilities;scholarships,"Main campus, Hanumakonda/Warangal, Telangana","Institute code 228. The displayed 2026 seat matrix totals 1,049 seats with no female supernumerary seats."
SRC002,JoSAA opening and closing rank archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - official,official counselling archive,A,2023-2025,,2026-06-26,cutoffs,"Main campus, Hanumakonda/Warangal, Telangana",Official archive underlying the verified structured extract.
SRC003,User-supplied verified merged JoSAA cutoff dataset 2018-2025,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,local attachment / JoSAA,Tier A - official-derived,verified structured extract from official archive,A,2023-2025,,2026-06-26,cutoffs,"Main campus, Hanumakonda/Warangal, Telangana","Filtered by the exact institute string National Institute of Technology, Warangal."
SRC004,CSAB Special 2025 Round 1 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Hanumakonda/Warangal, Telangana",Attached official export; document states all ranks are All India CRL.
SRC005,CSAB Special 2025 Round 2 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Hanumakonda/Warangal, Telangana",Attached official export; document states all ranks are All India CRL.
SRC006,CSAB Special 2025 Round 3 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Hanumakonda/Warangal, Telangana",Attached official export; document states all ranks are All India CRL.
SRC007,NIT Warangal official website,https://www.nitw.ac.in/,nitw.ac.in,Tier B - institution-controlled,official institution website,B,,,2026-06-26,identity;history;contact;facilities,"Main campus, Hanumakonda/Warangal, Telangana",Official institute website.
SRC008,NIRF India Rankings 2025 - Engineering,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2025,2025,2026-06-26,ranking,"Main campus, Hanumakonda/Warangal, Telangana","Engineering rank 28, score 61.05, institution ID IR-E-U-0025."
SRC009,NIRF India Rankings 2024 - Engineering,https://www.nirfindia.org/Rankings/2024/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2024,2024,2026-06-26,ranking,"Main campus, Hanumakonda/Warangal, Telangana","Engineering rank 21, score 61.72."
SRC010,NIRF India Rankings 2023 - Engineering,https://www.nirfindia.org/Rankings/2023/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2023,2023,2026-06-26,ranking,"Main campus, Hanumakonda/Warangal, Telangana","Engineering rank 21, score 61.13."
SRC011,NIRF 2025 institution-submitted Engineering data,https://nitw.ac.in/api/static/files/NIRF-2025_Submitted_data_Engineering_2025-2-3-9-46-25.pdf,nitw.ac.in,Tier A - official submission,institution-submitted NIRF PDF,A,2021-22 to 2023-24,2025,2026-06-26,placements;intake;faculty;financials,"Main campus, Hanumakonda/Warangal, Telangana",UG four-year graduating cohort placement and median salary data.
SRC012,NIT Warangal placement statistics 2024-25,https://nitw.ac.in/api/static/files/plamenets2024-2025_2025-7-24-15-44-52.pdf,nitw.ac.in,Tier C - institution-associated,official placement-cell PDF,C,2024-25,2025,2026-06-26,placements,"Main campus, Hanumakonda/Warangal, Telangana",Branch-wise B.Tech placement table. Eligible is defined in the document as CGPA at least 6.5 and participation in all campus drives.
SRC013,NIT Warangal placement statistics 2023-24,https://nitw.ac.in/api/static/files/ccpd_st_23_24_2025-12-2-14-28-0.pdf,nitw.ac.in,Tier C - institution-associated,official placement-cell PDF,C,2023-24,2025,2026-06-26,placements,"Main campus, Hanumakonda/Warangal, Telangana",Branch-wise B.Tech placement table.
SRC014,NIT Warangal placement brochure 2024-25,https://nitw.ac.in/api/static/files/ccpd2024_2024-7-30-11-0-22.pdf,nitw.ac.in,Tier C - institution-associated,official placement brochure,C,2024-25,2024,2026-06-26,recruiters;placements;departments,"Main campus, Hanumakonda/Warangal, Telangana","Recruiter list used only as a dated official listing; roles, package and current-year participation are left unverified unless explicitly published."
