scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Merit-cum-Means Scholarship,IIT Kharagpur,Indian Institute of Technology Kharagpur,Eligible UG programmes,2026-27,Up to 25% of registered students; institute merit/means rules,All,,All India / scheme-specific,Fresh merit generally based on qualifying examination; renewal generally requires GPA/CGPA conditions under current rules,,,"Tuition exemption and maintenance/financial support as notified; potentially applicable, not guaranteed.","Academic year, subject to renewal",Income certificate; academic record; institute application,Maintain current merit/means conditions; no conflicting scholarship,Verify active 2026-27 notice,https://www.iitkgp.ac.in/academics-scholarships,S013;S014,B
Free Tuitionship for Means-Eligible Students,IIT Kharagpur,Indian Institute of Technology Kharagpur,Eligible UG programmes,2026-27,"Means-eligible students outside the MCM merit selection, subject to institute cap",All,,All India / scheme-specific,Institute means criteria,,,"Tuition-fee exemption only, subject to institute selection and current rules.",Academic year,Income and academic documents,Annual re-verification,Verify active notice,https://www.iitkgp.ac.in/academics-scholarships,S013,B
Learn-Earn-Return Award,IIT Kharagpur / donors,Indian Institute of Technology Kharagpur,UG programmes,2026-27,Top JEE Advanced rankers under the published institute rule,All,,All India / scheme-specific,Maintain CGPA at or above the rule threshold,JEE Advanced AIR condition,120000,"INR 10,000 per month under the cited rule; first two qualifying rankers within AIR 200, with a woman award provision if applicable.","Four or five years, subject to renewal",JEE Advanced rank and academic record,Maintain CGPA 9.0 or current notified condition,Verify current call,https://www.iitkgp.ac.in/academics-regulations,S014,B
Pandit Ishwar Chandra Vidyasagar Full Scholarship,IIT Kharagpur,Indian Institute of Technology Kharagpur,UG programmes,2026-27,Merit/JEE Advanced based under current institute announcement,All,,All India / scheme-specific,Current award rules required,JEE Advanced rank-based,,Full-scholarship claim appears in institute material; exact current benefit and selection conditions require notice-level confirmation.,As notified,Rank and application documents,As notified,Verify current 2026-27 announcement,https://www.iitkgp.ac.in/academics-scholarships,S013,B
Institute Endowment Scholarships,IIT Kharagpur donors/endowments,Indian Institute of Technology Kharagpur,UG programmes,2026-27,"Award-specific merit, branch, year, category and means conditions",Award-specific,,All India / scheme-specific,Award-specific,,,Multiple endowment scholarships; amount and eligibility vary.,Usually one academic year or as notified,Award-specific documents,Award-specific,Verify current announcement,https://www.iitkgp.ac.in/academics-scholarships,S013,B
Conference Travel and Research Presentation Assistance,IIT Kharagpur,Indian Institute of Technology Kharagpur,UG students presenting accepted research,2026-27,Accepted paper and institute approval,All,,All India / scheme-specific,Research paper acceptance and approval,,,"May cover eligible travel, registration, visa or insurance expenses, subject to approval and limits.",Per approved conference,Acceptance letter; paper; travel budget; approvals,One-time approved support,Apply before travel under current process,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=106,S002,B
SC/ST/PwD Tuition-Fee Exemption,IIT Kharagpur under Government/IIT fee rules,Indian Institute of Technology Kharagpur,B.Tech./B.S./B.Arch.,2026-27,SC/ST/PwD,All,,All India / scheme-specific,Valid category/disability documentation,,200000,Full annual tuition exemption at the current INR 1 lakh per-semester rate; other charges remain payable.,Academic year/semester,Category/PwD certificate and institute fee documents,Verification as required,At admission/fee verification,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=106,S002,A
Full Tuition Remission — Income below INR 1 lakh,IIT Kharagpur under Government/IIT fee rules,Indian Institute of Technology Kharagpur,B.Tech./B.S./B.Arch.,2026-27,OPEN/OBC-NCL/EWS income-based remission,All,100000,All India / scheme-specific,Income verification,,200000,Full annual tuition remission at current rate; other charges remain payable.,Academic year/semester,Income certificate and institute fee documents,Fresh verification as required,At admission/fee verification,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=106,S002,A
Two-Thirds Tuition Remission — Income INR 1–5 lakh,IIT Kharagpur under Government/IIT fee rules,Indian Institute of Technology Kharagpur,B.Tech./B.S./B.Arch.,2026-27,OPEN/OBC-NCL/EWS income-based remission,All,500000,All India / scheme-specific,Income verification,,133334,Approximately two-thirds of annual tuition remitted; official demand controls exact amount.,Academic year/semester,Income certificate and institute fee documents,Fresh verification as required,At admission/fee verification,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=106,S002,A
National Scholarship Portal Schemes,Government of India / participating ministries,Indian Institute of Technology Kharagpur,Eligible IIT Kharagpur students,2026-27,Scheme-specific category/income/disability/minority conditions,Scheme-specific,,All India / scheme-specific,Scheme-specific,,,Potentially applicable central schemes; notified-institution and course eligibility required.,Scheme-specific,NSP registration and scheme-specific documents,Scheme-specific,Verify NSP 2026-27,https://scholarships.gov.in/,S015,A
