college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Kanpur,Programming Club,Technical,Institution-associated student body/club,"Coding, competitive programming and development activities",https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Robotics Club,Technical,Institution-associated student body/club,Robotics projects and competitions,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Electronics Club,Technical,Institution-associated student body/club,Electronics design and hands-on projects,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Astronomy Club,Science,Institution-associated student body/club,Astronomy observations and outreach,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Aeromodelling Club,Technical,Institution-associated student body/club,Aircraft and model-building projects,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Gliding Club,Adventure/technical,Institution-associated student body/club,Gliding activities supported by the campus airstrip,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,HAM Club,Technical,Institution-associated student body/club,Amateur radio activities,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Business Club,Entrepreneurship,Institution-associated student body/club,Business and case-based activities,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Music Club,Cultural,Institution-associated student body/club,Music performance and practice,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Dance Club,Cultural,Institution-associated student body/club,Dance training and performance,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Dramatics Club,Cultural,Institution-associated student body/club,Theatre and dramatics,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Fine Arts Club,Cultural,Institution-associated student body/club,Visual arts and creative practice,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Photography Club,Media,Institution-associated student body/club,Photography activities and documentation,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Students’ Film Society,Media,Institution-associated student body/club,Film screenings and film culture,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Book Club,Literary,Institution-associated student body/club,Reading and discussion,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Debating Society,Literary,Institution-associated student body/club,Debate and public speaking,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Adventure Club,Adventure,Institution-associated student body/club,Outdoor and adventure activities,https://students.iitk.ac.in/,Listed on official student-life pages; recent dated activity not individually verified,,,Student-led; current recruitment/project process varies by club and should be confirmed,unable to verify,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Prakriti / Nature Club,Environment,Institution-associated student body/club,Environmental awareness and campus initiatives,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Community Welfare Cell,Social service,Institution-associated student body/club,Community and social-impact activities,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
Indian Institute of Technology Kanpur,Entrepreneurship Cell,Entrepreneurship,Institution-associated student body/club,Entrepreneurship programming linked to the institute ecosystem,https://students.iitk.ac.in/,Referenced in official 2024-25 annual-report/student-life material,2024-25,,Student-led; current recruitment/project process varies by club and should be confirmed,recently active,S010;S029;S030,2026-06-26
