college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Female-only (including Supernumerary),1050,1409,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 2,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Female-only (including Supernumerary),1050,1409,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 3,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Female-only (including Supernumerary),1050,1409,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 4,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Female-only (including Supernumerary),1050,1409,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 5,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Female-only (including Supernumerary),1050,1409,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 1,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Gender-Neutral,327,586,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 2,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Gender-Neutral,327,618,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 3,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Gender-Neutral,327,618,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 4,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Gender-Neutral,327,618,,,JEE Advanced GEN-EWS rank,S001,
Indian Institute of Technology Bombay,102,2024,JoSAA,Round 5,Regular JoSAA round,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,EWS,JEE Advanced GEN-EWS rank,AI,Gender-Neutral,327,618,,,JEE Advanced GEN-EWS rank,S001,
