college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology and Biochemical Engineering,B.Tech,4,60,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech,4,75,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech,4,110,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech,4,99,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech,4,110,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",Electrical Engineering (Power and Automation),B.Tech,4,54,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech,4,63,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,B.Tech,4,89,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech,4,85,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Design (4 Years, Bachelor of Technology)",Design,B.Tech,4,20,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial Engineering,B.Tech,4,83,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",Textile Technology,B.Tech,4,85,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",Engineering and Computational Mechanics,B.Tech,4,40,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",Materials Engineering,B.Tech,4,40,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,B.Tech,4,40,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Chemistry (4 Years, Bachelor of Science)",Chemistry,B.S.,4,40,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering,B.Tech + M.Tech (Dual Degree),5,46,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Computer Science and Engineering,B.Tech + M.Tech (Dual Degree),5,37,0,,,2026-27,S002
Indian Institute of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",Mathematics and Computing,B.Tech + M.Tech (Dual Degree),5,33,0,,,2026-27,S002
