college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Visvesvaraya National Institute of Technology, Nagpur",Google,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Goldman Sachs,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Citi India,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",JPMorgan Chase,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Deloitte USI Consulting,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",L&T Group,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Bajaj Auto,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Oracle,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Reliance Industries,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
"Visvesvaraya National Institute of Technology, Nagpur",Vedanta,2024-25,,,,full-time/internship/PPO not disaggregated,confirmed in dated institution-published profile/brochure,,,SRC001,"Dated institution-controlled recruiter evidence; no role, branch eligibility, selection count or package is inferred.",C
