college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Dhirubhai Ambani University,AI Club,Technical/AI,Official student club or committee,"Hands-on AI learning, research collaboration, workshops, hackathons and projects.",https://www.daiict.ac.in/dean-students,Current convener listing and programme description visible in 2026,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Programming Club,Technical/coding,Official student club or committee,"Competitive programming, algorithmic problem-solving and programming contests.",https://www.daiict.ac.in/dean-students,Current club listing; regular contests and ICPC-oriented activity described,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Cyber Information and Network Security Club,Technical/cybersecurity,Official student club or committee,"Cybersecurity learning, awareness and hands-on technical activities.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Microsoft Student Technical Club,Technical/development,Official student club or committee,"Student technical community for software, platforms and development activities.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Research Club,Academic/research,Official student club or committee,"Student research discussions, guidance and research-oriented events.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,IEEE Student Branch,Professional/technical,Official student club or committee,Professional and technical development through IEEE-linked activities.,https://daiict.ac.in/index.php/ieee-student-branch,Current official branch page visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S034,2026-06-27
Dhirubhai Ambani University,Press Club,Media/literary,Official student club or committee,"Campus journalism, newsletter, magazine, writing and literary activities.",https://www.daiict.ac.in/dean-students,Current club description and contact visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Debating Society,Literary/debate,Official student club or committee,"Debating, public speaking and discussion activities.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Dance Club,Cultural/dance,Official student club or committee,"Dance training, performances and intercollegiate participation.",https://www.daiict.ac.in/dean-students,Official page records competition achievements and current organisation,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Music Club,Cultural/music,Official student club or committee,"Music practice, performances and campus cultural events.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,DA-IICT Theatres Group,Cultural/theatre,Official student club or committee,"Theatre productions, workshops and intercollege competitions.",https://www.daiict.ac.in/dean-students,Official page records first prizes at BITS Goa in 2023 and 2024,2024,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Chess Club,Sports/mind sport,Official student club or committee,Chess practice and tournament participation.,https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Headrush Quizzing Club,Quiz/knowledge,Official student club or committee,Quizzes and knowledge-based competitions.,https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Business Club,Business/entrepreneurship,Official student club or committee,"Business, finance, product and entrepreneurship-oriented student activities.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Muse Designing Club,Creative/design,Official student club or committee,"Graphic, visual and event-design activities.",https://www.daiict.ac.in/dean-students,Current club listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Annual Festival Committee,Festival/event management,Official student club or committee,"Coordinates Synapse, HackOut, YouthRun and other major student events.",https://www.daiict.ac.in/dean-students,Current committee description visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Sports Committee,Sports governance,Official student club or committee,"Organises intramural and inter-university sport, including Concours.",https://www.daiict.ac.in/dean-students,Current committee and flagship tournament description visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,Student Placement Cell,Career/placement,Official student club or committee,Student coordination for placement preparation and recruiter processes.,https://www.daiict.ac.in/dean-students,Current committee description and placement-preparedness role visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,active,S033,2026-06-27
Dhirubhai Ambani University,TechSupport Committee,Campus technology support,Official student club or committee,Student technical support for campus events and digital infrastructure.,https://www.daiict.ac.in/dean-students,Current committee listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
Dhirubhai Ambani University,Cultural Committee,Cultural governance,Official student club or committee,Coordinates campus cultural calendar and student celebrations.,https://www.daiict.ac.in/dean-students,Current committee listing visible,2026,See official description and dated activity where stated,Institute/student-body process; current cycle details require verification,recently active,S033,2026-06-27
