scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Institute Merit-cum-Means Scholarship,IIT Kanpur,Indian Institute of Technology Kanpur,4-year/5-year UG and eligible 2-year M.Sc.,2026-27,Up to 25% of batch; 20% of awards reserved for SC/ST,All,800000,,CPI >=6.5 for full scholarship; first-year selection uses JEE AIR/marks; no F grade in previous two regular semesters; no other scholarship,,,"Full tuition waiver plus INR 1,000 per month pocket allowance, or free basic mess plus INR 250 per month, subject to institute selection.",Academic year/programme subject to renewal,Income certificate; academic record; declaration of no other scholarship,Maintain CPI and other eligibility; pocket allowance withdrawn if CPI falls below 6.5 but remains above 6.0,Expected announcement around second week of August; exact 2026-27 notice required,https://www.iitk.ac.in/sspc/sspc-mcm-scholarship,S018;S022,B
Free Basic Mess Scholarship,IIT Kanpur,Indian Institute of Technology Kanpur,Eligible UG and 2-year M.Sc. programmes,2026-27,SC/ST only,All,450000,,Need-based; cannot hold another scholarship,,,"Free basic mess and pocket allowance as notified; potentially applicable, not guaranteed.","Academic year, subject to renewal",SC/ST certificate; income certificate; application; no-other-scholarship declaration,Continued category/income eligibility and annual application,Expected announcement around second week of August; exact 2026-27 notice required,https://www.iitk.ac.in/sspc/sspc-fbm-scholarship,S019;S022,B
INSPIRE-SHE Scholarship,"Department of Science and Technology, Government of India",Indian Institute of Technology Kanpur,Eligible 4-year B.S. natural/basic-science programmes,2026-27,Natural/basic sciences; Economics and engineering programmes excluded under institute page,All,,,"Qualifying route such as top 1% board, JEE AIR within top 10,000, or specified scholar/Olympiad route; CPI/API >=7.0 and no failures under institute criteria",,,Benefit governed by current DST INSPIRE-SHE rules; IIT Kanpur facilitates application.,As per DST renewal rules,DST application documents; institute undertaking; academic records,Maintain DST and institute eligibility,Expected announcement around second week of August; verify DST 2026-27 deadline,https://www.iitk.ac.in/sspc/sspc-inspire-scholarships,S020;S022,B
General Donor Scholarships — MCM donor pool,IIT Kanpur alumni and donors,Indian Institute of Technology Kanpur,UG programmes,2026-27,Varies by donor; common MCM-donor criteria apply,All,600000,,Common minimum CPI 6.0 unless the award specifies more,,Varies,"Award, branch, year, gender and amount vary by donor; eligibility must be matched to the current announcement.",Usually one academic year; some awards continue,Income certificate; academic records; award-specific documents,Award-specific CPI/income conditions; no duplicate scholarship where specified,Expected first-round announcement before 15 October; exact notice required,https://www.iitk.ac.in/sspc/sspc-donor-scholarships,S021;S022,B
Sri Ram Sahai Agarwal Scholarship,IIT Kanpur donor scholarship,Indian Institute of Technology Kanpur,"First-year UG, any discipline",2026-27,Means-based; preference/primary eligibility for girls under published criteria,Female preferred; male fallback if no suitable female candidate,500000,,"Annual family income between INR 1 lakh and INR 5 lakh; selection by lowest income, then AIR",,270000,Published donor award amount; potentially applicable and not guaranteed.,Up to four years,Income certificate; JEE rank; institute application,"CPI >6.0, income remains within band, and no disqualifying disciplinary action",As per current donor-scholarship announcement,https://www.iitk.ac.in/sspc/sspc-donor-scholarships,S021,B
Smt. Triveni Bai Kanodia Scholarship,IIT Kanpur donor scholarship,Indian Institute of Technology Kanpur,"First-year UG, any department",2026-27,Income band INR 6-10 lakh; no other scholarship,Female only,1000000,,Awarded using highest open-category/CRL AIR among eligible applicants,,50000,Published donor award; one student; potentially applicable.,Four consecutive years subject to renewal,Income certificate; JEE AIR; institute documents,Maintain CPI 6.5 from second year onward and retain eligibility,As per current donor-scholarship announcement,https://www.iitk.ac.in/sspc/sspc-donor-scholarships,S021,B
Dr. Arup and Anita Mukherjee Scholarship,IIT Kanpur donor scholarship,Indian Institute of Technology Kanpur,First-year CSE or Electrical Engineering UG,2026-27,Income band INR 5-10 lakh,One male and one female award,1000000,,Lowest family income among eligible applicants; AIR tie-break,,50000,Published donor award amount per recipient; potentially applicable.,One academic year / as notified,Income certificate; AIR; programme proof,As specified in annual donor notice,As per current donor-scholarship announcement,https://www.iitk.ac.in/sspc/sspc-donor-scholarships,S021,B
Ratan Kumari and Ganga Prasad Memorial Scholarship,IIT Kanpur donor scholarship,Indian Institute of Technology Kanpur,Fourth-year CSE UG,2026-27,Income band INR 6-9 lakh; no other scholarship,Female only,900000,,Highest CPI at end of third year; minimum CPI 7.0,,50000,Published donor award; potentially applicable.,One award year,Income certificate; CPI record; application,Maintain award-specific eligibility,As per current donor-scholarship announcement,https://www.iitk.ac.in/sspc/sspc-donor-scholarships,S021,B
Institute Sports Scholarship,IIT Kanpur,Indian Institute of Technology Kanpur,UG students,2026-27,Performance-based,All,,,Selected for sports performance under institute process,,4500,Historical/current financial-aid page states INR 500 per month for nine months; verify current 2026-27 amount.,Nine months,Sports record; nomination/application,Continued performance/eligibility,As per sports scholarship announcement,https://www.iitk.ac.in/financial-aid,S017;S023,B
SC/ST/PwD Tuition-Fee Exemption,IIT Kanpur under Government/IIT fee rules,Indian Institute of Technology Kanpur,UG programmes,2026-27,"SC, ST or PwD",All,,,Valid category/disability documentation,,200000,Full annual tuition exemption at the current INR 1 lakh per-semester rate; other charges remain payable unless separately waived.,Programme duration subject to rules,Valid certificate; admission/fee documents,Maintain valid status and registration,At admission/fee verification,https://www.iitk.ac.in/dosa/data/Fee-Structure-2026-27-First-New-Students-18-03-26.pdf,S005,B
Full Tuition Remission — MEB,IIT Kanpur under Government/IIT fee rules,Indian Institute of Technology Kanpur,UG programmes,2026-27,GEN/OBC-NCL/GEN-EWS income-based remission,All,100000,,Family income below INR 1 lakh and successful verification,,200000,Full annual tuition remission at current rate; other charges remain payable.,Academic year/semester subject to verification,Income certificate and institute fee documents,Fresh verification as required,At admission/fee verification,https://www.iitk.ac.in/dosa/data/Fee-Structure-2026-27-First-New-Students-18-03-26.pdf,S005,B
