college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",AE,B.Tech.,4,65,5,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural & Food Engineering,B.Tech.,4,88,5,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",Biotechnology,B.Tech.,4,66,4,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech.,4,100,15,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech.,4,104,15,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,118,22,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",EE,B.Tech.,4,96,17,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,127,23,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",Instrumentation,B.Tech.,4,41,3,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Manufacturing,B.Tech.,4,55,11,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech.,4,144,28,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgy & Materials,B.Tech.,4,80,13,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Mining Engineering (4 Years, Bachelor of Technology)",Mining,B.Tech.,4,95,18,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Ocean & Naval Architecture,B.Tech.,4,71,9,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",ISE,B.Tech.,4,63,9,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,B.Tech.,4,50,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,B.Tech.,4,30,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",Chemistry,B.S.,4,45,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Economics (4 Years, Bachelor of Science)",Economics,B.S.,4,59,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Physics (4 Years, Bachelor of Science)",Physics,B.S.,4,49,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Mathematics and Computing (4 Years, Bachelor of Science)",MnC,B.S.,4,69,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Applied Geology (4 Years, Bachelor of Science)",Applied Geology,B.S.,4,52,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Exploration Geophysics (4 Years, Bachelor of Science)",Exploration Geophysics,B.S.,4,45,0,0,Not verified,2026-27,S002
Indian Institute of Technology Kharagpur,"Architecture (5 Years, Bachelor of Architecture)",Architecture,B.Arch.,5,37,3,0,Not verified,2026-27,S002
