college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Athletics Club,Sports,Official / institute-associated,Track and field training and competition,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Inter-IIIT 2023: 28 medals,2023,Inter-IIIT 2023: 28 medals,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Badminton Club,Sports,Official / institute-associated,Badminton practice and competitions,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Boys and girls gold at Inter-IIIT 2023,2023,Boys and girls gold at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Basketball Club,Sports,Official / institute-associated,Basketball practice and tournaments,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Girls gold at Inter-IIIT 2023,2023,Girls gold at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Chess & Carrom Club,Sports,Official / institute-associated,Chess and carrom practice and tournaments,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Chess silver and girls carrom silver at Inter-IIIT 2023,2023,Chess silver and girls carrom silver at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Cricket Club,Sports,Official / institute-associated,Cricket practice and tours,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Runner-up at Inter-IIIT 2023,2023,Runner-up at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Football Club,Sports,Official / institute-associated,Football practice and tournaments,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Boys bronze at Inter-IIIT 2023,2023,Boys bronze at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Lawn Tennis Club,Sports,Official / institute-associated,Tennis practice,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Boys bronze and girls gold at Inter-IIIT 2023,2023,Boys bronze and girls gold at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Table Tennis Club,Sports,Official / institute-associated,Table tennis training,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Girls gold and boys bronze at Inter-IIIT 2023,2023,Girls gold and boys bronze at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Volleyball Club,Sports,Official / institute-associated,Volleyball practice and tournaments,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,Girls silver at Inter-IIIT 2023,2023,Girls silver at Inter-IIIT 2023,Student Gymkhana selection/member process; current details require verification,recently active,SRC001,2026-06-26
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Aavartan - Dance Club,Cultural,Official / institute-associated,Dance training and performances,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=311,,,,Student Gymkhana selection/member process; current details require verification,unable to verify,SRC001,2026-06-26
