scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
"PM YASASVI Central Sector Scheme of Top Class Education for OBC, EBC and DNT Students",Government of India,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,OBC/EBC/DNT,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
Central Sector Scholarship of Top Class Education for SC Students,Government of India,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,SC,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
Post-Matric Scholarship for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,PwD,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
Scholarships for Top Class Education for Students with Disabilities,Department of Empowerment of Persons with Disabilities,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,PwD,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
PM-USP Central Sector Scheme of Scholarship for College and University Students,"Department of Higher Education, Government of India",Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,Merit/income rules,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
National Fellowship and Scholarship for Higher Education of ST Students - Scholarship,Ministry of Tribal Affairs,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,ST,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific income ceiling. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
NEC Merit Scholarship,North Eastern Council,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,NER domicile and merit rules,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; As per current NEC guidelines. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://necouncil.gov.in/scholarship,SRC015,B
Ishan Uday Special Scholarship Scheme for North Eastern Region,UGC / Government of India,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,NER domicile and other scheme rules,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; As per current NSP guidelines. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
Prime Minister Scholarship Scheme for CAPF and Assam Rifles,Ministry of Home Affairs,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,Eligible wards/widows,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; Scheme-specific. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.gov.in/,SRC015,B
Reliance Foundation Undergraduate Scholarship,Reliance Foundation,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,Merit and means criteria,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; As per current foundation rules. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://scholarships.reliancefoundation.org/,SRC015,B
ONGC Scholarship to Meritorious Students,ONGC Foundation,Indian Institute of Information Technology Guwahati,B.Tech programmes,2026-27 potentially applicable,Category/merit criteria,,,Scheme-specific,Current scheme guidelines apply,Current scheme guidelines apply where relevant,,"Potentially applicable; As per current ONGC rules. Award, amount and eligibility require official current-cycle verification.",Scheme-specific,"Identity, income, category/domicile and academic documents as notified",Scheme-specific academic and administrative conditions,,https://ongcscholar.org/,SRC015,B
