college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Delhi,Accenture Strategy and Consulting,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Amazon,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,American Express,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Bajaj Auto Technology Ltd,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Barclays,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Deutsche India Pvt Ltd,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Eternal Limited,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,EXL Services,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,EY GDS,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,EY Parthenon,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Glean Search Technologies India Pvt Ltd,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Google,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Goldman Sachs,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Graviton Research Capital,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,JP Morgan,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Meesho,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Microsoft,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Navi,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Nine Education,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Oracle,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,PayU Payments,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Qualcomm,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Schlumberger,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Squarepoint Capital,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Sterlite Group,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Texas Instruments,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
Indian Institute of Technology Delhi,Wells Fargo International Solutions Pvt Ltd,2025-26,,multiple / not published,,full-time placement / PPO pool,confirmed for year,,,S015,"Listed by IIT Delhi OCS among companies making double-digit offers in the 2025-26 placement season; company-wise roles, branch eligibility, count and package were not published.",C
