college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Visvesvaraya National Institute of Technology, Nagpur",Robobank,robotics/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",IEEE Student Branch,electronics/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",V-ACM,computing/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Team Velocity,automotive/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",TESLA,electrical/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Design and Innovation Club,design/innovation,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Mathematics Club,academic,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Cyber Security Club,cybersecurity/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",IIChE Student Chapter,chemical/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Quizzing Club,quiz/literary,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Octaves,music/cultural,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Club Capture,photography/media,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Halla Bol,drama/cultural,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Grooves,dance/cultural,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Entrepreneurship Cell,entrepreneurship,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Astronomy Club,science/astronomy,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Prayaas,community service,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Iridescence,arts/cultural,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Social Welfare Club,community service,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
"Visvesvaraya National Institute of Technology, Nagpur",Samvad,literary/discussion,officially listed / institution-associated,Listed in the official JoSAA institute profile as part of the student activity ecosystem.,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=230,,,,Not consistently published; verify with Dean Student Welfare / current club channels,unable to verify,SRC001,2026-06-26
