college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Information Technology Bhopal,CODAME,technical/coding,institution-listed club,"Coding and competitive-programming club; conducts contests, webinars and hackathons.",https://iiitbhopal.ac.in/,Mr and Ms Coder and OPTIGO inter-IIIT coding contest,2024-04-21,,,recently active,SRC011,2026-06-26
Indian Institute of Information Technology Bhopal,Google Developer Student Club (GDSC),technical/developer community,institution-listed club,"Developer community for workshops, hackathons and study jams.",https://iiitbhopal.ac.in/,"WebDev Week, AI/ML Week, Gen AI study jams and solution challenges",2023-24,,,recently active,SRC011,2026-06-26
Indian Institute of Information Technology Bhopal,Kratigence,technical/AI and innovation,institution-listed club,Technical club listed in the official placement brochure.,https://iiitbhopal.ac.in/,Technical activities listed in placement brochure,,,,unable to verify,SRC012,2026-06-26
Indian Institute of Information Technology Bhopal,Harfbaz,quiz,institution-listed club,Quiz club intended to build knowledge through quizzes.,https://iiitbhopal.ac.in/,Quiz activities described in placement brochure,,,,unable to verify,SRC012,2026-06-26
Indian Institute of Information Technology Bhopal,Pikazo / Picasso,photography and creative arts,institution-listed club,Photography and creative-development club.,https://iiitbhopal.ac.in/,Listed in annual report and placement brochure,2023-24,,,recently active,SRC011,2026-06-26
Indian Institute of Information Technology Bhopal,Inspire Club,spirituality and personal development,institution-listed club,Club described as supporting spirituality and character development.,https://iiitbhopal.ac.in/,Activities described in placement brochure,,,,unable to verify,SRC012,2026-06-26
Indian Institute of Information Technology Bhopal,GNU/Linux Club,open-source and technical,institution-listed club,Linux and open-source learning club.,https://iiitbhopal.ac.in/,Technical sessions described in placement brochure,,,,unable to verify,SRC012,2026-06-26
Indian Institute of Information Technology Bhopal,Aarzoo,"music, dance and art",institution-listed club,"Cultural club for music, dance and art.",https://iiitbhopal.ac.in/,Listed in annual report student-activity section,2023-24,,,recently active,SRC011,2026-06-26
Indian Institute of Information Technology Bhopal,Sports Club,sports,institution-listed club,Student sports committee and club.,https://iiitbhopal.ac.in/,Listed in annual report,2023-24,,,recently active,SRC011,2026-06-26
Indian Institute of Information Technology Bhopal,Arunodaya,social service,institution-listed club,Social-activity club; organised a blood-donation event and outreach activities.,https://iiitbhopal.ac.in/,Blood donation drive and inaugural activity,2023-24,,,recently active,SRC011,2026-06-26
