college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Hyderabad,"Chemical Engineering (4 Years, Bachelor of Technology)",CHE,Bachelor of Technology,4,42,8,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Civil Engineering (4 Years, Bachelor of Technology)",CE,Bachelor of Technology,4,54,11,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Computational Engineering (4 Years, Bachelor of Technology)",Computational Engineering,Bachelor of Technology,4,27,3,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Industrial Chemistry (4 Years, Bachelor of Technology)",Industrial Chemistry,Bachelor of Technology,4,32,3,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Electrical Engineering (IC Design and Technology) (4 Years, Bachelor of Technology)",EE (IC Design & Technology),Bachelor of Technology,4,31,4,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,Bachelor of Technology,4,58,12,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Electrical Engineering (4 Years, Bachelor of Technology)",EE,Bachelor of Technology,4,58,12,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,Bachelor of Technology,4,34,6,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Engineering Science (4 Years, Bachelor of Technology)",Engineering Science,Bachelor of Technology,4,38,7,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Mathematics and Computing (4 Years, Bachelor of Technology)",MnC,Bachelor of Technology,4,31,4,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Mechanical Engineering (4 Years, Bachelor of Technology)",ME,Bachelor of Technology,4,58,12,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Materials Science & Metallurgy,Bachelor of Technology,4,34,6,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,Bachelor of Technology,4,44,6,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,Bachelor of Technology,4,31,4,0,,2026-27,S002
Indian Institute of Technology Hyderabad,"Biotechnology and Bioinformatics (4 Years, Bachelor of Technology)",Biotechnology & Bioinformatics,Bachelor of Technology,4,32,3,0,,2026-27,S002
