scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
Institute Merit-cum-Means Scholarship,IIT Madras,Indian Institute of Technology Madras,All UG,2026-27,Income-based,,450000,,Merit-cum-means; available for 25% of admitted students,,,67% tuition-fee exemption,Programme duration,Income proof; academic records,Minimum GPA 5.0 in previous semester,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Institute Free Studentship,IIT Madras,Indian Institute of Technology Madras,All UG,2026-27,Income-based,,450000,,Available for 25% of admitted students,,,67% tuition-fee exemption,Programme duration,Income proof; academic records,Minimum GPA 5.0 in previous semester,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Institute Notional Prize,IIT Madras,Indian Institute of Technology Madras,All UG,2026-27,Income-based,,450000,,JEE rank; available to 7% of admitted students,JEE rank,1000,One-time grant,One time,Income proof; JEE documents,,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Institute SC/ST Scholarship,IIT Madras,Indian Institute of Technology Madras,B.Tech / Dual Degree,2026-27,SC or ST,,450000,,Category and income eligibility,,,"Free messing plus ₹250 per month pocket allowance, over and above tuition exemption",Programme duration,Category certificate; income proof,Minimum GPA 5.0 in previous semester,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Girish Ready Scholarship,IIT Madras endowment,Indian Institute of Technology Madras,B.Tech,2026-27,,,500000,,Highest JEE rank or best all-round school performance,JEE rank,25000,"₹25,000 per year; limited awards",Programme duration,Income proof; JEE/school records,Minimum GPA 8.0 in previous semester,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Indian Women’s Association at Bonn Scholarship,Indian Women’s Association at Bonn,Indian Institute of Technology Madras,B.Tech,2026-27,,,500000,,JEE rank and income criteria,JEE rank,15000,"₹1,250 per month for 12 months to one B.Tech student",12 months,Income proof; JEE records,,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Sri V Ranga Raju Memorial Scholarship,Endowment,Indian Institute of Technology Madras,B.Tech,2026-27,,,500000,,Merit-cum-means; rural preference when merit and means are equal,,24000,₹500 per month for four years to one student,4 years,Income and domicile/rural evidence,Minimum GPA 5.0 each semester,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Kanchi Kamakoti Jagadguru Sri Chandrasekarendra Saraswathi Endowment Award,Endowment,Indian Institute of Technology Madras,All UG,2026-27,,,550000,,Merit-cum-means,,2500,One-time payment to one student,One time,Income and academic records,,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
M Sankaraiah and M Saradha Scholarship,Endowment,Indian Institute of Technology Madras,B.Tech / Dual Degree Electrical Engineering,2026-27,,,,,Highest CGPA at end of fourth semester,,20000,One-time award,One time,Academic transcript,,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Dr K Vasanth Rau Scholarship,Endowment,Indian Institute of Technology Madras,All UG,2026-27,,,550000,,JEE rank and income criteria,JEE rank,25000,"₹25,000 per annum to one student",Programme duration,Income proof; JEE records,GPA 6.5 or above,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Central Sector Scholarship for SC Students,"Ministry of Social Justice and Empowerment, Government of India",Indian Institute of Technology Madras,B.Tech / MBA / Dual Degree,2026-27,SC,,450000,,Top eligible students based on JEE rank,JEE rank,,"Fee reimbursement; ₹45,000 personal computer once; ₹2,200/month living; ₹3,000/year books",Subject to scheme,"Category, income, admission and bank documents",As per current government scheme,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Central Sector Scholarship for ST Students,"Ministry of Tribal Affairs, Government of India",Indian Institute of Technology Madras,B.Tech / MBA / Dual Degree,2026-27,ST,,600000,,Top eligible students based on JEE rank,JEE rank,,"Fee reimbursement; ₹45,000 personal computer once; ₹2,200/month living; ₹3,000/year books",Subject to scheme,"Category, income, admission and bank documents",Pass final examination each year,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Merit-cum-Means Scholarship for Minority Communities,"Ministry of Minority Affairs, Government of India",Indian Institute of Technology Madras,All eligible programmes,2026-27,Notified minority communities,30% reserved for girl students,250000,,As per scheme norms,,,"Hosteller maintenance ₹10,000/year; day scholar ₹5,000/year; course-fee reimbursement up to ₹20,000 or actual",Annual,"Community, income, admission and bank documents",Pass final examination each year,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
Single Girl Child Scholarship,Government of India / MHRD listing on IITM page,Indian Institute of Technology Madras,Eligible UG,2026-27,,Female; single girl child,,,As per current Government of India norms,,40000,"₹40,000 per year as listed; current scheme verification required",Annual,As per notified scheme,As per notified scheme,,https://www.iitm.ac.in/academics/academic-services/scholarships-and-financial-assistance,S018,B
