college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Indian Institute of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",Aerospace Engineering,B.Tech.,4,66,7,,,2026-27,S002
Indian Institute of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech.,4,113,12,,,2026-27,S002
Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech.,4,130,16,,,2026-27,S002
Indian Institute of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",Environmental Science and Engineering,B.Tech.,4,37,9,,,2026-27,S002
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech.,4,170,29,,,2026-27,S002
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech.,4,90,22,,,2026-27,S002
Indian Institute of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech.,4,52,6,,,2026-27,S002
Indian Institute of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech.,4,169,34,,,2026-27,S002
Indian Institute of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",Metallurgical Engineering and Materials Science,B.Tech.,4,102,3,,,2026-27,S002
Indian Institute of Technology Bombay,"Industrial Engineering and Operations Research (4 Years, Bachelor of Technology)",Industrial Engineering and Operations Research,B.Tech.,4,36,4,,,2026-27,S002
Indian Institute of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",Energy Engineering,B.Tech.,4,41,6,,,2026-27,S002
Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",Chemistry,B.S.,4,35,0,,,2026-27,S002
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",Economics,B.S.,4,40,0,,,2026-27,S002
Indian Institute of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",Mathematics,B.S.,4,18,0,,,2026-27,S002
Indian Institute of Technology Bombay,"Applied Geophysics (4 Years, Bachelor of Science)",Applied Geophysics,B.S.,4,25,0,,,2026-27,S002
Indian Institute of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical Engineering (Dual Degree),B.Tech. + M.Tech. (Dual Degree),5,80,11,,,2026-27,S002
