college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Hyderabad,Science and Technology Council,Technical council,Official/institution-associated,Coordinates science and technology clubs and competitions,https://gymkhana.iith.ac.in/,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,active,S025,2026-06-26
Indian Institute of Technology Hyderabad,Cultural Council,Cultural council,Official/institution-associated,"Coordinates music, dance, theatre and creative activities",https://gymkhana.iith.ac.in/,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,active,S025,2026-06-26
Indian Institute of Technology Hyderabad,Literary Society,Literary,Official/institution-associated,"Debate, writing, speaking and literary events",https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Coding Club,Technical — software,Official/institution-associated,"Programming, development and coding activities",https://gymkhana.iith.ac.in/,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,active,S025,2026-06-26
Indian Institute of Technology Hyderabad,Robotics Club,Technical — robotics,Official/institution-associated,"Robotics design, competitions and projects",https://gymkhana.iith.ac.in/,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,active,S025,2026-06-26
Indian Institute of Technology Hyderabad,Aero Club,Technical — aerospace,Official/institution-associated,Aerospace modelling and student projects,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Torque Club,Technical — automotive,Official/institution-associated,Automotive and mechanical student projects,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Behind the Lens,Photography and film,Official/institution-associated,Photography and visual-media activities,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Shuffle Crew,Dance,Official/institution-associated,Dance training and performances,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Vibes,Music,Official/institution-associated,Music practice and performances,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
Indian Institute of Technology Hyderabad,Rang de Manch,Theatre,Official/institution-associated,Dramatics and theatre productions,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=107,Listed in current official/institution-associated sources; exact latest event varies,,Not consistently published in a current structured source,Student-body recruitment/selection; current cycle requires verification,recently active,S002,2026-06-26
