college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Student Activity Council (SAC),student governance / umbrella council,institution-associated official council,"Primary student representative body coordinating cultural, technical, sports and welfare activities.",https://sac.iiitm.ac.in/,Current SAC site and institute brochure identify student-activity coordination,2026,Coordinates multiple institute events and clubs,Not publicly verified,active,SRC022,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Abhigyan Abhikaushalam Students Forum (AASF),academic / peer learning,official student forum,"Student forum supporting peer learning, orientation and academic/community initiatives.",https://www.iiitm.ac.in/,Orientation for the 2024 batch,2024-08-13,Institution-published student orientation initiative,Not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",IEEE Student Branch,technical / professional,institution-associated student branch,IEEE student branch linked to technical conferences and professional activities.,https://www.iiitm.ac.in/,Participation in institute-hosted IEEE conferences during 2024-25,2025,Associated with IATMSI/ICETA and technical events,Not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Abhishar,literary / institute magazine,institution-associated publication,Student and alumni magazine/publication with multiple published volumes.,https://iiitm.ac.in/index.php/en/student/activities/cultural-events/179-abhishar,Official page lists multiple volumes,2026,Eleven volumes listed on official page,Not publicly verified,active,SRC023,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",INFOTSAV Organising Team,technical / techno-management fest,institution-associated event team,"Organises the annual techno-managerial festival with coding, analytics, entrepreneurship, workshops and hackathons.",https://www.iiitm.ac.in/,INFOTSAV 2024 held 18-20 October 2024,2024-10-20,National participation across technology and management activities,Not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Aurora Organising Team,cultural festival,institution-associated event team,"Organises the annual cultural festival with music, dance, arts and performances.",https://www.iiitm.ac.in/,Aurora 2024 held for three days from 15 March 2024,2024-03-17,Institute annual cultural festival,Not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",URJA Sports Committee,sports,institution-associated event team,Coordinates the annual intra-institute sports festival.,https://www.iiitm.ac.in/,URJA 2025 held 10-12 January 2025,2025-01-12,Platform for selecting and preparing athletes for Inter-IIIT competition,Open participation; committee selection not verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Inter-IIIT Sports Meet / Twaran Organising Team,sports / intercollege,institution-associated event team,Hosted and coordinated the 7th Inter-IIIT Sports Meet in 2025.,https://www.iiitm.ac.in/,Inter-IIIT Sports Meet held 20-23 March 2025,2025-03-23,"22 IIITs, 2,000+ athletes, 15+ sports; institute placed fourth in men’s championship",Not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Technology Innovation and Incubation Centre (TIIC) student initiatives,innovation / entrepreneurship,institution-controlled centre with student participation,"Supports student innovation, incubation, entrepreneurship and conclaves.",https://www.iiitm.ac.in/,Atal Research and Incubation Conclave 2024,2024-11-09,ARIC 2024 supported innovation and startup ecosystem engagement,Programme-specific; not publicly verified,recently active,SRC009,2026-06-26
"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Alumni Relations Student Team,alumni / networking,institution-associated student activity,"Supports alumni engagement, meets, directory and student-alumni interaction.",https://alumni.iiitm.ac.in/,Alumni Meet held 15-16 February 2025,2025-02-16,Alumni directory and identity-card initiatives launched,Not publicly verified,recently active,SRC009,2026-06-26
