scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
HBSF–MAHE EduEmpower Scholarship,Harish and Bina Shah Foundation with MAHE,"Manipal Institute of Technology, Manipal",B.Tech,2026-27,Official school-history and means criteria; top eligible MET ranks,,1200000,,"At least 70% in Mathematics, Physics and eligible optional subject; school-study conditions apply",MET 2026 and B.Tech common counselling,,"100% programme fee, hostel fee and mess waiver",Potentially entire programme,"School study, marks, income and tax evidence",Clear all subjects; failures/incomplete/detention remove benefit for that year,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
B.Tech Freeship Scholarship,MAHE,"Manipal Institute of Technology, Manipal",Eligible B.Tech branches,2026-27,General category; limited seats,,,,At least 80% board aggregate; 8 CGPA and no backlogs for continuation/refund,MET rank 1–100 or JEE Main CRL 1–3000,,100% course-fee waiver; living/hostel/mess excluded; minimum annual course fee retained as specified,Potentially entire programme,"Marks, rank and MAHE application",8 CGPA; no failure/incomplete/detention; branch-change and withdrawal rules apply,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
B.Tech Scholar Scholarship,MAHE,"Manipal Institute of Technology, Manipal",Eligible B.Tech branches,2026-27,General category; limited seats,,,,At least 80% board aggregate; 8 CGPA and no backlogs,MET rank 101–5000 or JEE Main CRL 3001–100000,,20% course-fee waiver,Potentially entire programme,"Marks, rank and MAHE application",8 CGPA; no failure/incomplete/detention; branch-change rules apply,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
B.Tech Achiever Scholarship,MAHE,"Manipal Institute of Technology, Manipal",B.Tech,From second year,"Top 5% of general intake in each branch, excluding Freeship/Scholar recipients",,,,Previous-year university performance; official tie-breaks apply,,,20% programme-fee waiver,Years 2–4 subject to annual selection,University academic record,Re-evaluated annually; no final-year-performance award,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
Scholarship for Meritorious Girl Students at MIT Manipal,MAHE,"Manipal Institute of Technology, Manipal",Chemical; Civil; Mechanical Engineering,2026-27,General category,Female,,,"At least 60% in Mathematics, Physics and eligible optional subject",Official admission process,,Student pays 30% of programme fee,Potentially entire programme in eligible branch,Marks and MAHE application,7 CGPA; no failure/incomplete/detention; branch-change conditions apply,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
AICTE Tuition Fee Waiver Scheme,AICTE / MAHE implementation,"Manipal Institute of Technology, Manipal",B.Tech,2026-27,Economically weaker; up to 5% general intake per branch,,800000,,Academic eligibility; failures/incomplete/detention remove waiver for that year,MET 2026; separate TFW counselling communication,,Tuition-fee waiver only,Potentially entire programme,Income-tax/income and rank evidence,Academic eligibility; branch change ends continuation,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
Merit Scholarship for Wards of Indian Military and CAPF Personnel,MAHE,"Manipal Institute of Technology, Manipal",Eligible B.Tech programmes,2026-27,Ward of eligible Indian Military/CAPF personnel,,,India,Programme-specific criteria,Official admission process,,Benefit requires manual confirmation from detailed guideline,Per official guideline,"Service, relationship and academic evidence",Official academic/conduct conditions,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
Scholarship for Konkani-Speaking Students,MAHE,"Manipal Institute of Technology, Manipal",Eligible programmes including B.Tech,2026-27,General; mother tongue Konkani; no reserved seat,,,,Ordinary admission requirements,Programme admission route,,10% programme-fee waiver,Potentially entire programme,Language eligibility and MAHE documents,Clear all subjects; failures/incomplete/detention remove benefit for year,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
Merit Scholarship for Children of MAHE Manipal Alumni,MAHE,"Manipal Institute of Technology, Manipal",Full-time programmes including B.Tech,2026-27,General; parent must be eligible MAHE Manipal alumnus,,,,UG applicant at least 80% as defined,Programme route,,10% programme-fee waiver; maximum two children,Potentially entire programme,"Parent alumni registration, certificates, ID and application",Official academic/conduct conditions,,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
MAHE Interest Subsidy on Education Loan,MAHE,"Manipal Institute of Technology, Manipal",Eligible programmes,2026-27,Eligible education loan and scheme conditions,,,,Course-specific norms may apply,,,"Interest subsidy from 100% at income up to INR 6 lakh to 10% above INR 15 lakh, subject to guideline",Eligible study/loan period,Loan and income documents,"Attendance, conduct and withdrawal conditions",,https://www.manipal.edu/mu/admission/scholarships.html,SRC007,B
