college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
Indian Institute of Technology Roorkee,Information Management Group,Technical / institute systems,Official student group,Institute web and information systems,https://iitr.ac.in/Campus%20Life/Student%20Groups/Information%20Management%20Group.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,active,S025,2026-06-26
Indian Institute of Technology Roorkee,Himalayan Explorers Club,Adventure / outdoors,Official club,"Trekking, mountaineering and outdoor activities",https://www.iitr.ac.in/hec/,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,active,S026,2026-06-26
Indian Institute of Technology Roorkee,Fine Arts Section,Cultural / visual arts,Official club,Fine arts and creative activity,https://finearts.iitr.ac.in/,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,active,S027,2026-06-26
Indian Institute of Technology Roorkee,SPIC MACAY IIT Roorkee,Cultural / classical arts,Official chapter,Indian classical arts and heritage,https://www.iitr.ac.in/spicmacay/,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,active,S028,2026-06-26
Indian Institute of Technology Roorkee,Watch Out!,Student media,Official student media,Campus journalism and student reporting,https://watchout.iitr.ac.in/about/,Listed in current official directory/profile,2026,Not consistently published in a structured official source,Current induction process requires club-level confirmation,active,S029,2026-06-26
Indian Institute of Technology Roorkee,Dramatics Section,Cultural / theatre,Official club,Theatre and dramatics,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Music Section,Cultural / music,Official club,Music performance and production,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Choreography Section,Cultural / dance,Official club,Dance and choreography,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Cinematic Section,Cultural / film,Official club,Film-making and cinema,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Literary Section,Literary,Official club,"Debate, writing and literary activities",https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Audio Section,Technical / events,Official club,Audio production for campus events,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Light Section,Technical / events,Official club,Lighting and stage production,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Cognizance,Technical festival,Official student group,Annual technical and management festival,https://www.iitr.ac.in/Campus%20Life/Student%20Groups/index.html,Listed in current official directory/profile,2026,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S018,2026-06-26
Indian Institute of Technology Roorkee,Thomso,Cultural festival,Official student group,Annual cultural festival,https://www.iitr.ac.in/Campus%20Life/,Listed in current official directory/profile,2026,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S016,2026-06-26
Indian Institute of Technology Roorkee,ACM Student Chapter,Technical / computing,Official chapter,Computing and technical activities,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,IEEE Student Branch,Technical / electronics,Official chapter,Electrical/electronics technical activities,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,SAE Collegiate Club,Technical / automotive,Official chapter,Automotive engineering and competitions,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,Entrepreneurship Development Cell,Entrepreneurship,Official student group,Entrepreneurship and startup activities,https://www.iitr.ac.in/Campus%20Life/Clubs/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S017,2026-06-26
Indian Institute of Technology Roorkee,National Service Scheme,Social service,Official student group,Community and public service,https://www.iitr.ac.in/Campus%20Life/Student%20Groups/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S018,2026-06-26
Indian Institute of Technology Roorkee,Sanskrit Club,Language / culture,Official student group,Sanskrit language and cultural activities,https://www.iitr.ac.in/Campus%20Life/Student%20Groups/index.html,Listed in current official directory/profile,,Not consistently published in a structured official source,Current induction process requires club-level confirmation,recently active,S018,2026-06-26
