source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
SRC001,JoSAA 2026 institute profile and seat matrix,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=323,josaa.admissions.nic.in,Tier A - authoritative,official counselling profile,A,2026-27,,2026-06-26,identity;admissions;branches;seat_matrix;facilities;location,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,"Institute code 323; nine B.Tech programmes; 1,188 seats; zero female-supernumerary seats."
SRC002,JoSAA opening and closing rank archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - authoritative,official counselling archive,A,2023-2025,,2026-06-26,cutoffs,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,OPEN uses CRL; reserved-seat ranks use the corresponding category rank.
SRC003,User-supplied verified JoSAA cutoff extract,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - official-derived,verified structured extract,A,2023-2025,,2026-06-26,cutoffs,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,Filtered from the user-provided verified merged JEE cutoff dataset.
SRC004,CSAB Special 2025 Round 1 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,The supplied official PDF states that all CSAB ranks are All India CRL.
SRC005,CSAB Special 2025 Round 2 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,The supplied official PDF states that all CSAB ranks are All India CRL.
SRC006,CSAB Special 2025 Round 3 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - authoritative,official PDF export,A,2025,,2026-06-26,cutoffs,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,The supplied official PDF states that all CSAB ranks are All India CRL.
SRC007,IIIT Bhopal official website,https://iiitbhopal.ac.in/,iiitbhopal.ac.in,Tier B - institution-controlled,official website,B,2026,,2026-06-26,identity;contacts;events;facilities;recruiters,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,
SRC008,IIIT Bhopal B.Tech fee structure 2025-26,https://iiitbhopal.ac.in/Document/Admission/B.Tech%20FEE%20STRUCTURE%202025-26.pdf,iiitbhopal.ac.in,Tier B - institution-controlled,official fee circular,B,2025-26,2025-06-05,2026-06-26,fees,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,"Scanned one-page official schedule; Year I total 283,374 INR and Years II-IV 263,592 INR each."
SRC009,"IIIT Bhopal boys hostel, bus and mess fee structure 2025-26",https://iiitbhopal.ac.in/Media/Notice/N25070015/60813.pdf,iiitbhopal.ac.in,Tier B - institution-controlled,official hostel fee circular,B,2025-26,2025-07,2026-06-26,fees;hostel;mess;transport,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,Hostel is stated compulsory for first-year UG and PG boys; NITTTR and BHEL variants are listed.
SRC010,IIIT Bhopal Expression of Interest for industry partners 2026,https://iiitbhopal.ac.in/Media/Tender/N26020008/60941.pdf,iiitbhopal.ac.in,Tier B - institution-controlled,official EOI with institute profile,B,2026,2026-03-09,2026-06-26,placements;campus;programmes,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,"Contains branch-wise placement statistics for 2023, 2024 and 2025 and proposed 60.98-acre permanent-campus information."
SRC011,IIIT Bhopal Annual Report 2023-24,https://iiitbhopal.ac.in/Document/Important/Annual%20Report%202023-24_English.pdf,iiitbhopal.ac.in,Tier B - institution-controlled,official annual report,B,2023-24,2024,2026-06-26,clubs;facilities;events;placements,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,Lists student clubs and 2023-24 activities; hostel information reflects that reporting period.
SRC012,IIIT Bhopal Training and Placement brochure,https://iiitbhopal.ac.in/Document/TPO%20Cell/TPO_Brochure.pdf,iiitbhopal.ac.in,Tier C - institution-associated,official placement-cell brochure,C,Historical/undated,,2026-06-26,recruiters;clubs;placement_process,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,"Useful for club descriptions, recruiter history and an older placement snapshot; current-year claims require verification."
SRC013,IIIT Bhopal batch-wise placement summary dated 28 October 2022,https://iiitbhopal.ac.in/Document/TP%20Cell%202/IIIT-Bhopal-placed-data-28-10-22.pdf,iiitbhopal.ac.in,Tier C - institution-associated,official placement-cell report,C,2021-2023,2022-10-28,2026-06-26,placements;recruiters,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,The Batch 2023 figures were explicitly an interim till-date snapshot and differ from later final data.
SRC014,Affiliated scholarship schemes at IIIT Bhopal,https://iiitbhopal.ac.in/Document/Academic/Affiliated%20Scholarship%20Schemes%20at%20IIIT%20Bhopal.pdf,iiitbhopal.ac.in,Tier B - institution-controlled,official scholarship reference,B,Historical; verify current cycle,,2026-06-26,scholarships,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,Lists MP schemes and category-based post-matric scholarships; some thresholds may be outdated.
SRC015,National Scholarship Portal,https://scholarships.gov.in/,scholarships.gov.in,Tier A - authoritative,government scholarship portal,A,2026-27,,2026-06-26,scholarships,Temporary campus at MANIT Bhopal; proposed permanent campus at Fatehpur Dogra,"Current scheme availability, benefit and deadline must be checked on the live portal."
