scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
GOI Post-Matric Scholarship for SC/ST Students,Government of Maharashtra / Government of India,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,SC/ST,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,State portal rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Tuition Fee and Examination Fee Freeship for SC/ST Students,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,SC/ST,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Tuition/examination fee support under current state rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Scholarship for Persons with Disability,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,PwD,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Benefit depends on current MahaDBT rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Scholarship to OBC Students,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,OBC,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Benefit depends on current MahaDBT rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Scholarship to SBC Students,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,SBC,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Benefit depends on current MahaDBT rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Scholarship to VJNT Students,Government of Maharashtra,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,VJNT,Any unless scheme specifies otherwise,,Maharashtra,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Benefit depends on current MahaDBT rules,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Mukhya Mantri Medhavi Vidyarthi Yojana (MMVY),Government of Madhya Pradesh,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,Scheme-specific,Any unless scheme specifies otherwise,,Madhya Pradesh,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Potential fee support; official verification required,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Mukhya Mantri Jan Kalyan Yojana (MMJKY),Government of Madhya Pradesh,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,Scheme-specific,Any unless scheme specifies otherwise,,Madhya Pradesh,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Potential fee support; official verification required,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
Post-Matric Scholarship for SC Students - Gujarat,Government of Gujarat,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,SC,Any unless scheme specifies otherwise,,Gujarat,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Potential post-matric support; official verification required,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
e-Kalyan Scholarship,Government of Jharkhand,Indian Institute of Information Technology (IIIT) Nagpur,Potentially applicable to eligible IIIT Nagpur students,2026-27; current notification required,ST/SC/Minority/Backward Class as notified,Any unless scheme specifies otherwise,,Jharkhand,Scheme-specific,Admission/enrolment and scheme-specific conditions,,Potential post-matric support; official verification required,Scheme-specific,"Identity, domicile, category, income, bank and academic documents as notified",Scheme-specific annual renewal,,https://iiitn.ac.in/pages/scholarships,SRC001,A
