college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Indian Institute of Technology Roorkee,D. E. Shaw India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,JPMorgan Chase,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Texas Instruments,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Google India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Uber,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Quadeye,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Quantbox Research,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Rubrik India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Goldman Sachs,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Boston Consulting Group India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Microsoft India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Salesforce,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,KLA Tencor,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Accenture,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,American Express,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Oracle India,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Adobe,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,UiPath,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Amazon Development Centre,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Samsung Research Bangalore,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,World Wide Technology,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,NVIDIA,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Ola Electric,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Tata Steel,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Qualcomm,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,ZoomInfo,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,British Petroleum,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Barclays,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Wells Fargo,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
Indian Institute of Technology Roorkee,Visa,2024-25,Not publicly specified,Not publicly specified,Not publicly specified,Internship / recent recruiter list,confirmed for year,,,S010,"Named in the official 2024-25 annual report recent internship-recruiter list; roles, branch eligibility, selection count and package were not publicly verified.",B
