college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Vellore Institute of Technology,Apple,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Microsoft,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Amazon,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Intel,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Motorq,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,2,INR 88 LPA institutional claim,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Dell,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Wipro,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Deloitte,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Qualcomm,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,SAP,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,NXP Semiconductors,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Silicon Labs,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Maruti Suzuki,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Reliance Industries,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,HSBC,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Bank of America,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,KPMG,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,BNY Mellon,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Ford,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Indian Oil Corporation,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,,,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
Vellore Institute of Technology,Tata Consultancy Services,2023-24,,,,Full-time / unknown mix,confirmed for centralized VIT placement year,963,103 premier offers at INR 9 LPA; broader hiring figure includes multiple profiles,S027,"Listed in VIT's official 2023-24 placement overview; placement operations are centralized and Vellore-only participation, role eligibility and selection count are not established.",C
